--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.1429     0.5714     -1.5812    2.4286    2.9032    
SITE5        11     0.2727     0.8182     0.2776     1.4545    2.0000    
SITE6        13     0.3077     0.6923     0.1430     2.1538    3.1623    
SITE7        31     0.3548     0.7419     -0.0043    1.6452    2.4692    
SITE8        14     0.4286     0.8571     0.4020     1.0000    1.5584    
SITE10       16     0.3750     0.6250     -0.2462    1.9375    2.9262    
SITE11       6      0.0000     0.3333     -1.5846    4.0000    4.3205    
SITE12       16     0.3125     0.7500     0.3632     1.4375    1.9843    
SITE13       29     0.2069     0.7586     -0.6121    1.9655    2.5257    
SITE14       10     0.3000     0.8000     0.4340     1.5000    1.9748    
SITE15       19     0.4737     0.6316     -0.6441    2.2105    3.3403    
SITE17       21     0.1905     0.6667     0.0472     2.0000    2.6367    
SITE18       20     0.5500     0.8000     0.1421     1.4000    2.3664    
SITE19       44     0.4091     0.8864     0.1819     1.0682    1.9129    
SITE20       10     0.5000     0.8000     -0.2758    1.7000    3.1464    
SITE21       14     0.3571     0.8571     0.7289     1.0714    1.4880    
SITE22       60     0.3833     0.9167     0.2406     0.9500    1.4201    
SITE24       11     0.2727     0.5455     -0.3152    2.1818    2.8284    
SITE25       24     0.3333     0.7083     -0.0337    1.5833    2.2730    
SITE26       16     0.5000     0.8750     0.7418     1.0000    1.5000    
SITE29       17     0.1765     0.3529     -0.7365    3.0000    3.5892    
SITE30       13     0.3077     0.7692     -0.1268    2.0000    3.2106    
SITE33       22     0.3182     0.7727     0.2133     1.5455    2.2563    
SITE35       7      0.8571     1.0000     0.9607     0.2857    0.7559    
SITE36       10     0.5000     0.7000     0.2524     1.9000    3.0496    
SITE40       24     0.2500     0.7083     -0.2905    1.7917    2.3184    
SITE41       31     0.4839     0.8065     0.0052     1.2903    2.2718    
SITE42       12     0.4167     0.7500     0.3391     1.6667    2.5166    
