--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.1429     0.7143     -0.2250    1.7143    2.0000    
SITE5        11     0.2727     0.6364     0.0149     1.8182    2.3355    
SITE6        13     0.3846     0.7692     0.4594     1.5385    2.5115    
SITE7        31     0.3226     0.7419     -0.0627    1.7419    2.5400    
SITE8        14     0.4286     0.7857     0.3317     1.1429    1.6475    
SITE10       16     0.3750     0.6875     0.4269     1.4375    1.9843    
SITE11       6      0.3333     0.5000     -0.6615    2.6667    3.4641    
SITE12       16     0.3125     0.7500     0.3632     1.4375    1.9843    
SITE13       29     0.3103     0.7241     -0.2635    1.6897    2.2361    
SITE14       10     0.2000     0.6000     0.2308     1.9000    2.3022    
SITE15       19     0.2105     0.6316     -0.3649    2.4211    3.0435    
SITE17       21     0.2857     0.5714     -0.4422    2.3333    3.2440    
SITE18       20     0.5500     0.8000     0.4102     1.1500    1.9621    
SITE19       44     0.3182     0.9318     0.1362     1.1818    1.9656    
SITE20       10     0.7000     0.9000     0.8196     0.6000    1.1832    
SITE21       14     0.5714     0.9286     0.8513     0.6429    1.1019    
SITE22       60     0.4000     0.9333     0.2406     0.9167    1.4201    
SITE24       11     0.4545     0.6364     0.1332     1.6364    2.2962    
SITE25       24     0.3750     0.7500     -0.0754    1.6250    2.3184    
SITE26       16     0.5000     0.8750     0.6701     1.0000    1.6956    
SITE29       17     0.1765     0.5294     -0.2132    2.4118    3.0000    
SITE30       13     0.3077     0.8462     0.7393     1.1538    1.5442    
SITE33       22     0.2727     0.5909     -0.1379    2.0000    2.7136    
SITE35       7      0.7143     0.8571     0.7149     1.0000    2.0354    
SITE36       10     0.6000     0.7000     0.2846     1.7000    2.9833    
SITE40       24     0.2917     0.8333     0.1096     1.4583    1.9257    
SITE41       31     0.3548     0.7742     0.0674     1.5484    2.1997    
SITE42       12     0.5000     0.8333     0.4522     1.4167    2.2913    
SITE43       19     0.2632     0.5263     -0.3217    2.1579    2.8004    
SITE45       23     0.3478     0.8261     0.4765     1.4783    2.0642    
SITE48       16     0.3750     0.7500     0.0733     1.6250    2.4749    
SITE49       10     0.4000     0.9000     0.5495     1.0000    1.4142    
SITE50       8      0.7500     1.0000     0.9358     0.3750    0.7906    
SITE53       15     0.6667     0.8667     0.7711     0.6000    1.1832    
SITE58       21     0.2857     0.7619     0.4493     1.3810    1.9149    
SITE59       12     0.1667     0.6667     -0.2311    2.2500    2.9861    
SITE65       13     0.3077     0.6923     0.0891     1.9231    2.8148    
SITE66       11     0.2727     0.6364     -2.6453    3.5455    5.0901    
SITE73       18     0.5556     0.8333     0.5371     1.1667    2.1731    
SITE75       13     0.4615     0.9231     0.6296     1.0000    1.5442    
SITE76       7      0.4286     0.5714     0.1107     2.2857    3.3381    
SITE78       11     0.7273     0.8182     0.7656     0.7273    1.5374    
SITE80       6      0.6667     0.8333     0.7863     0.8333    1.4720    
SITE81       10     0.4000     0.7000     0.2116     1.8000    2.4495    
SITE84       16     0.1875     1.0000     0.5254     1.1250    1.3229    
SITE86       10     0.3000     0.7000     -0.4181    2.1000    3.1145    
SITE94       21     0.3810     0.6667     -0.0967    1.8095    2.6547    
SITE95       6      0.5000     0.8333     0.8530     0.8333    1.3540    
SITE96       6      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE97       7      0.8571     0.8571     0.6137     1.0000    2.6458    
SITE98       20     0.2000     0.5500     -0.4514    2.4000    3.1623    
SITE104      12     0.2500     0.6667     -0.7008    2.0000    2.7386    
SITE106      14     0.2857     0.8571     0.3984     1.4286    2.1712    
SITE111      15     0.4667     0.7333     -0.1187    1.8667    3.0768    
SITE115      17     0.2941     0.6471     0.1617     1.7059    2.3389    
SITE116      14     0.2857     0.8571     0.5723     1.2143    1.7928    
SITE117      24     0.3333     0.7083     -0.0861    1.5833    2.1794    
SITE119      12     0.6667     0.7500     0.6804     0.9167    1.6073    
SITE125      8      0.2500     0.6250     -0.5175    2.6250    3.5882    
SITE127      16     0.3125     0.8750     0.1250     1.2500    2.0917    
SITE128      18     0.3889     0.7778     -0.0583    1.5556    2.6667    
SITE129      15     0.4667     0.6667     -0.0475    1.8000    2.8868    
SITE132      8      0.6250     0.7500     -0.4586    1.8750    3.5178    
SITE134      9      0.4444     0.6667     -0.0983    1.7778    2.8284    
SITE156      17     0.5882     0.8235     0.5076     1.0000    1.8311    
SITE160      10     0.3000     0.9000     0.5501     1.3000    1.7607    
SITE161      14     0.4286     0.6429     0.0922     1.6429    2.4349    
SITE165      7      0.2857     0.7143     0.4324     1.7143    2.0702    
SITE167      11     0.3636     0.6364     -0.5693    2.0909    3.1189    
SITE168      10     0.5000     0.8000     0.4069     1.5000    2.3875    
SITE169      14     0.4286     0.6429     -0.0916    1.7857    2.6322    
SITE171      14     0.3571     0.7143     0.1725     1.5714    2.2991    
SITE178      12     0.3333     1.0000     0.7287     0.9167    1.1902    
SITE179      27     0.1481     0.6296     -0.2064    2.0741    2.6105    
SITE186      19     0.2632     0.5263     -0.3777    2.6316    3.4793    
SITE193      15     0.5333     0.7333     0.1375     1.6667    2.8868    
SITE194      18     0.2778     0.7222     -0.5828    1.9444    2.5927    
SITE198      14     0.4286     0.5714     -1.1373    2.2143    3.2623    
SITE203      33     0.4242     0.7879     0.5040     1.2424    1.8829    
SITE205      24     0.2083     0.8333     0.3150     1.5833    2.0817    
SITE207      12     0.5000     0.8333     0.2216     1.0000    1.7321    
SITE208      13     0.3846     0.7692     0.2574     1.6154    2.4962    
SITE209      8      0.2500     0.6250     0.1927     1.6250    2.0310    
SITE212      9      0.2222     0.3333     -1.2898    3.3333    4.0000    
SITE215      33     0.5758     0.8485     0.6681     0.9394    1.5859    
SITE217      16     0.2500     0.5625     0.1296     1.8750    2.4238    
SITE219      15     0.3333     0.4667     -0.4966    2.5333    3.4254    
SITE229      14     0.2857     0.5714     -0.2448    2.2857    3.1396    
SITE230      11     0.5455     0.9091     0.3811     1.1818    2.5406    
SITE231      7      0.5714     0.8571     0.4797     1.2857    2.1712    
SITE234      11     0.4545     0.8182     0.0053     1.2727    1.7581    
SITE239      15     0.5333     0.8667     0.5083     1.1333    1.9833    
SITE240      14     0.3571     0.7857     0.4278     1.4286    2.1044    
SITE241      25     0.4000     0.7600     0.3407     1.4000    2.2539    
SITE244      12     0.5000     0.7500     0.6187     1.1667    1.8257    
SITE245      15     0.3333     0.5333     -0.2963    2.4000    3.3466    
SITE251      11     0.3636     0.7273     0.0092     1.6364    2.6629    
SITE253      30     0.2667     0.7667     0.0883     1.7000    2.3735    
SITE256      5      0.2000     0.4000     -2.4914    3.4000    4.0249    
SITE258      12     0.4167     0.7500     -0.1667    1.6667    2.6458    
SITE259      9      0.5556     0.6667     -0.3183    2.3333    3.8442    
SITE261      15     0.3333     0.6000     0.3478     1.7333    2.3381    
SITE262      20     0.2500     0.8000     0.0437     1.6500    2.2913    
SITE268      13     0.3846     0.6923     0.3845     1.5385    2.2532    
SITE272      13     0.3846     0.6923     0.2507     1.6154    2.5268    
SITE276      12     0.4167     0.7500     0.1379     1.2500    1.7559    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.8000     1.0000     0.9805     0.2000    0.4472    
SITE309      13     0.5385     0.6923     0.2749     1.6154    2.5570    
SITE310      7      0.4286     0.7143     0.3824     1.5714    2.1712    
SITE322      9      0.6667     0.8889     0.6519     0.6667    1.2472    
SITE323      9      0.7778     1.0000     0.9111     0.3333    0.7454    
SITE324      17     0.2941     0.7647     0.2206     1.8235    2.6234    
SITE325      8      0.5000     1.0000     0.8587     0.8750    1.2748    
SITE327      16     0.4375     0.8125     0.2461     1.4375    2.5860    
SITE330      14     0.3571     0.7143     -0.0147    1.7857    2.5213    
SITE331      7      0.5714     0.7143     0.5081     1.1429    1.9272    
SITE332      9      0.7778     0.8889     0.5055     0.4444    1.0541    
SITE333      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE334      12     0.5833     0.6667     -0.0578    1.5833    2.6926    
SITE336      5      0.4000     0.8000     -0.3281    1.4000    1.8439    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.3750     0.6250     0.1309     1.6250    2.2079    
SITE340      12     0.4167     0.5833     -0.6542    2.1667    3.0822    
SITE343      12     0.4167     0.5000     0.0389     1.8333    2.4495    
SITE345      7      0.5714     0.8571     0.7169     0.7143    1.2536    
SITE353      8      0.8750     1.0000     0.9780     0.1250    0.3536    
SITE355      9      0.6667     0.7778     -0.0375    1.5556    3.0912    
SITE358      14     0.3571     0.7143     0.3121     1.5000    2.0178    
SITE360      8      0.6250     0.7500     -0.0030    1.2500    2.2913    
SITE361      7      0.5714     0.8571     0.6475     0.8571    1.4142    
SITE362      11     0.4545     0.9091     0.6195     1.0909    2.0000    
SITE363      11     0.7273     0.8182     0.6734     0.6364    1.3143    
SITE366      12     0.5000     0.7500     -0.0992    1.7500    2.8431    
SITE367      8      0.6250     0.6250     0.4415     1.2500    2.0616    
SITE375      6      0.8333     1.0000     0.9181     0.3333    0.8165    
SITE376      9      0.5556     0.7778     0.4444     1.1111    1.8257    
SITE377      12     0.6667     0.9167     0.7037     0.6667    1.3540    
SITE380      8      0.3750     0.7500     0.4115     1.6250    2.1506    
SITE383      4      0.2500     0.5000     -0.2222    2.0000    2.3452    
SITE385      9      0.4444     0.6667     0.4286     1.3333    1.8856    
SITE386      11     0.6364     0.9091     0.7863     0.6364    1.1677    
SITE388      7      0.4286     0.7143     0.2184     1.2857    1.8127    
SITE389      11     0.6364     0.8182     0.5158     1.0000    1.8829    
SITE397      14     0.5000     0.8571     0.5043     1.0714    1.8708    
SITE401      7      0.7143     0.8571     0.6473     0.7143    1.3628    
SITE404      6      0.5000     0.5000     -0.2500    2.0000    2.8868    
SITE406      6      0.5000     0.6667     -0.0760    1.8333    3.1358    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.3448     0.7586     -0.1981    1.5862    2.3193    
SITE417      24     0.2917     0.7083     0.0990     1.6667    2.3452    
SITE420      15     0.4000     0.8000     0.2570     1.2667    1.8797    
SITE421      11     0.4545     0.7273     -0.0691    1.8182    2.8604    
SITE422      13     0.2308     0.7692     0.3758     1.5385    1.8811    
SITE424      6      0.6667     0.6667     0.5645     1.0000    1.7321    
SITE426      15     0.4667     0.8000     0.4744     1.2000    1.8619    
SITE430      9      0.4444     0.8889     0.3705     1.5556    2.8674    
SITE434      12     0.5833     0.6667     -0.4268    1.7500    3.1225    
SITE435      9      0.5556     0.7778     0.6098     1.1111    1.8257    
SITE437      18     0.2222     0.6111     -0.2298    2.1667    2.8186    
SITE438      15     0.3333     0.8000     -0.0573    1.6667    2.2361    
SITE439      13     0.6154     0.8462     0.7358     0.7692    1.4676    
SITE442      19     0.3158     0.8421     0.2829     1.5263    2.3508    
SITE443      6      0.5000     0.5000     -0.5252    2.6667    4.2032    
SITE446      18     0.3889     0.7778     0.0343     1.9444    2.9345    
SITE447      5      0.4000     0.6000     0.3925     1.6000    2.2804    
SITE454      7      0.5714     0.7143     0.5476     1.0000    1.6475    
SITE455      9      0.1111     0.3333     -1.3547    4.1111    5.0000    
SITE460      4      0.2500     0.5000     -0.9737    3.2500    4.3301    
SITE461      5      0.4000     0.8000     0.3304     1.6000    2.4495    
SITE463      6      0.5000     0.6667     -0.1589    2.0000    3.2146    
SITE464      8      0.6250     1.0000     0.9655     0.3750    0.6124    
SITE468      6      0.6667     0.6667     -0.6339    1.8333    3.1885    
SITE469      4      0.5000     1.0000     -0.8182    0.7500    1.1180    
SITE471      17     0.4706     0.7059     0.4541     1.5294    2.2492    
SITE474      6      0.5000     0.6667     0.4933     1.1667    1.7795    
SITE477      14     0.4286     0.7857     0.3808     1.3571    2.2200    
SITE483      9      0.2222     0.7778     0.5135     1.5556    2.0000    
SITE485      10     0.5000     0.9000     0.5935     1.0000    2.0000    
SITE486      6      0.6667     1.0000     0.9273     0.3333    0.5774    
SITE490      13     0.5385     0.7692     0.6069     0.9231    1.5191    
SITE492      6      0.6667     1.0000     0.8652     0.3333    0.5774    
SITE506      10     0.6000     0.7000     -0.0187    1.4000    2.4495    
SITE508      27     0.4074     0.8889     0.5765     1.1852    1.8856    
SITE510      6      0.8333     0.8333     -0.2618    1.1667    2.8577    
SITE520      16     0.5000     0.8125     0.6068     1.0625    1.6771    
SITE521      17     0.5882     0.9412     0.8750     0.7059    1.1882    
SITE522      18     0.5556     0.6667     0.0051     1.7222    2.8964    
