site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,3,18,0.1428571492433548,0.7142857313156128,-0.2250000238418579,1.7142857313156128,2.0,1.6831623911857605,2.4875848293304443,3
SITE5,40,29,11,5,20,0.27272728085517883,0.6363636255264282,0.014925360679626465,1.8181818723678589,2.3354969024658203,1.8444418907165527,1.9575046300888062,5
SITE6,47,34,13,14,29,0.38461539149284363,0.7692307829856873,0.45943206548690796,1.5384615659713745,2.511512041091919,0.8184188803037008,1.7184910774230957,14
SITE7,129,98,31,14,29,0.32258063554763794,0.7419354915618896,-0.0627356767654419,1.7419354915618896,2.5400025844573975,1.2945067286491394,1.817464828491211,14
SITE8,57,43,14,11,26,0.4285714328289032,0.7857142686843872,0.3316582441329956,1.1428571939468384,1.6475088596343994,1.3052284320195515,1.5333353281021118,11
SITE10,58,42,16,15,30,0.375,0.6875,0.42694711685180664,1.4375,1.9843134880065918,1.0883860190709431,1.5919125080108643,15
SITE11,27,21,6,15,30,0.3333333432674408,0.5,-0.6615384817123413,2.6666667461395264,3.464101552963257,0.79524165391922,1.8049991130828857,15
SITE12,60,44,16,4,19,0.3125,0.75,0.36323434114456177,1.4375,1.9843134880065918,1.3695883750915527,1.7303121089935303,4
SITE13,133,104,29,3,18,0.3103448152542114,0.7241379022598267,-0.263521671295166,1.6896551847457886,2.2360680103302,1.6710054533822196,1.9391029477119446,3
SITE14,34,24,10,4,19,0.20000000298023224,0.6000000238418579,0.23076915740966797,1.899999976158142,2.302172899246216,1.4964585304260254,1.766255259513855,4
SITE15,74,55,19,15,30,0.21052631735801697,0.6315789222717285,-0.3648979663848877,2.4210526943206787,3.043543577194214,1.3115407526493073,1.7784008979797363,15
SITE17,77,56,21,3,18,0.2857142984867096,0.5714285969734192,-0.44220006465911865,2.3333332538604736,3.244042158126831,1.6345886588096619,2.238083243370056,3
