--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.2857     0.5714     -1.4062    2.1429    2.8031    
SITE5        11     0.2727     0.5455     -0.4940    2.2727    2.8762    
SITE6        13     0.4615     0.6923     -0.3778    2.3846    4.0096    
SITE7        31     0.3871     0.7097     -0.1318    1.7097    2.6213    
SITE8        14     0.3571     0.7857     0.0854     1.4286    1.9272    
SITE10       16     0.3125     0.6250     -0.8283    2.4375    3.5444    
SITE11       6      0.3333     0.6667     -0.3846    2.3333    3.1623    
SITE12       16     0.2500     0.6875     -0.4150    2.0000    2.9580    
SITE13       29     0.2759     0.7931     -0.1590    1.6207    2.1415    
SITE14       10     0.2000     0.6000     -0.6401    2.5000    3.3615    
SITE15       19     0.3158     0.6842     -0.0857    1.8947    2.7145    
SITE17       21     0.1905     0.3333     -1.9888    3.8095    4.6701    
SITE18       20     0.4000     0.8000     0.2646     1.4000    2.1909    
SITE19       44     0.3864     0.8636     -0.1281    1.3182    2.2462    
SITE20       10     0.4000     0.7000     -1.2809    2.5000    4.2071    
SITE21       14     0.2143     0.5714     -1.5971    3.2143    4.6059    
SITE22       60     0.3667     0.8833     -0.0356    1.1167    1.6583    
SITE24       11     0.3636     0.6364     -0.0761    1.8182    2.5584    
SITE25       24     0.2500     0.6667     0.0663     1.6667    2.1602    
SITE26       16     0.3125     0.8125     0.2470     1.6875    2.5617    
SITE29       17     0.2353     0.4706     -0.4986    2.6471    3.3343    
SITE30       13     0.1538     0.4615     -0.0931    2.6154    3.1623    
SITE33       22     0.2727     0.6818     -0.0677    1.8182    2.6285    
SITE35       7      0.7143     0.7143     0.2725     1.7143    3.2514    
SITE36       10     0.3000     0.5000     -1.0418    3.6000    5.0398    
SITE40       24     0.2083     0.7917     -0.4006    1.8333    2.4152    
SITE41       31     0.1935     0.6129     -0.5046    2.1935    2.7940    
SITE42       12     0.5000     0.5000     -0.2348    2.3333    3.4400    
SITE43       19     0.1579     0.3684     -1.9449    3.3684    4.1802    
SITE45       23     0.2609     0.5652     -0.6131    2.6957    3.6236    
SITE48       16     0.1875     0.6250     -0.1537    2.2500    2.7613    
SITE49       10     0.4000     0.7000     0.0991     1.4000    2.0000    
SITE50       8      0.2500     0.5000     -0.3483    2.8750    3.6228    
SITE53       15     0.2000     0.6667     -0.7769    2.4667    3.2965    
SITE58       21     0.3333     0.5714     -1.0385    2.6190    3.6839    
SITE59       12     0.1667     0.7500     -0.2541    2.0833    3.0139    
SITE65       13     0.2308     0.3846     -1.3170    3.5385    4.4893    
SITE66       11     0.2727     0.5455     -0.1256    2.1818    2.8284    
SITE73       18     0.2778     0.7778     0.3301     1.8333    2.6141    
