--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.2857     0.5714     -1.4062    2.1429    2.8031    
SITE5        11     0.2727     0.4545     -1.2164    2.8182    3.5032    
SITE6        13     0.4615     0.6923     -0.1405    2.2308    3.6480    
SITE7        31     0.2581     0.6452     -0.0043    1.9032    2.4692    
SITE8        14     0.3571     0.6429     -0.2663    1.7143    2.2678    
SITE10       16     0.1875     0.5625     -0.6100    2.5625    3.3260    
SITE11       6      0.3333     0.6667     -0.3846    2.3333    3.1623    
SITE12       16     0.2500     0.6875     -0.4454    2.0625    2.9896    
SITE13       29     0.2759     0.7931     -0.1590    1.6207    2.1415    
SITE14       10     0.2000     0.6000     -0.6401    2.5000    3.3615    
SITE15       19     0.2105     0.3684     -1.0318    3.0526    3.7134    
SITE17       21     0.1905     0.3810     -1.5973    3.5238    4.3534    
SITE18       20     0.4000     0.7000     0.2493     1.5000    2.2136    
SITE19       44     0.2727     0.9318     0.3242     1.1591    1.7386    
SITE20       10     0.4000     0.6000     -1.8866    3.2000    4.7329    
SITE21       14     0.2143     0.6429     -0.9238    2.7143    3.9641    
SITE22       60     0.3667     0.8833     -0.0167    1.1000    1.6432    
SITE24       11     0.2727     0.5455     -0.5543    2.3636    3.0748    
SITE25       24     0.2083     0.6667     -0.1254    1.8750    2.3717    
SITE26       16     0.3125     0.8750     0.3330     1.5625    2.4109    
SITE29       17     0.2353     0.4706     -0.4986    2.6471    3.3343    
SITE30       13     0.1538     0.4615     -0.0931    2.6154    3.1623    
SITE33       22     0.2273     0.6364     -0.2363    2.0000    2.8284    
SITE35       7      0.5714     0.5714     -0.5239    3.0000    4.7056    
SITE36       10     0.3000     0.5000     -1.0418    3.6000    5.0398    
SITE40       24     0.1250     0.7500     -0.4306    1.9583    2.4410    
SITE41       31     0.2258     0.7097     -0.1067    1.8065    2.3962    
SITE42       12     0.5833     0.5833     -0.1565    2.0833    3.3292    
SITE43       19     0.2105     0.4211     -1.6167    3.1053    3.9403    
SITE45       23     0.2609     0.5217     -0.3994    2.6087    3.3751    
SITE48       16     0.1875     0.6250     -0.0024    2.1250    2.5739    
SITE49       10     0.3000     0.7000     0.0090     1.6000    2.0976    
SITE50       8      0.3750     0.6250     0.2424     1.8750    2.7157    
SITE53       15     0.3333     0.6000     -0.9077    2.3333    3.4157    
SITE58       21     0.1905     0.5714     -0.6594    2.4762    3.3238    
SITE59       12     0.2500     0.7500     -0.1620    1.9167    2.9011    
SITE65       13     0.3077     0.6154     -0.2558    2.3077    3.3050    
SITE66       11     0.3636     0.6364     -0.7395    2.5455    3.5162    
SITE73       18     0.2778     0.7778     0.2430     1.9444    2.7789    
