site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,6,21,0.2857142984867096,0.5714285969734192,-1.40625,2.142857074737549,2.8030595779418945,1.8032601475715637,1.9143285751342773,6
SITE5,40,29,11,22,37,0.27272728085517883,0.4545454680919647,-1.2164177894592285,2.8181817531585693,3.5032451152801514,1.6209731698036194,1.986060619354248,22
SITE6,47,34,13,27,42,0.4615384638309479,0.692307710647583,-0.140466570854187,2.230769157409668,3.6479709148406982,1.7441664934158325,1.8245054483413696,27
SITE7,129,98,31,5,20,0.25806450843811035,0.6451612710952759,-0.004285216331481934,1.9032257795333862,2.4691646099090576,1.957848174231393,2.1160742044448853,5
SITE8,57,43,14,23,38,0.3571428656578064,0.6428571343421936,-0.26633167266845703,1.7142857313156128,2.267786741256714,1.904763142267863,1.8899667263031006,23
SITE10,58,42,16,13,28,0.1875,0.5625,-0.6100057363510132,2.5625,3.326033592224121,1.8983904123306274,2.132266044616699,13
SITE11,27,21,6,7,22,0.3333333432674408,0.6666666865348816,-0.384615421295166,2.3333332538604736,3.1622776985168457,2.034312903881073,1.6728801727294922,7
SITE12,60,44,16,45,60,0.25,0.6875,-0.44535696506500244,2.0625,2.989565134048462,1.6877078612645466,1.9714701175689697,45
SITE13,133,104,29,2,17,0.27586206793785095,0.7931034564971924,-0.15895426273345947,1.6206896305084229,2.14154314994812,1.987885900906154,1.9613040089607239,2
SITE14,34,24,10,2,17,0.20000000298023224,0.6000000238418579,-0.640058159828186,2.5,3.3615472316741943,2.0209736824035645,2.024592161178589,2
SITE15,74,55,19,29,44,0.21052631735801697,0.3684210479259491,-1.031836748123169,3.0526316165924072,3.7134180068969727,1.8420726954936981,1.8012797832489014,29
SITE17,77,56,21,12,27,0.190476194024086,0.380952388048172,-1.5972652435302734,3.5238094329833984,4.353433132171631,2.030327558517456,2.1189810037612915,12
SITE18,82,62,20,31,46,0.4000000059604645,0.699999988079071,0.2493298053741455,1.5,2.213594436645508,1.4496442079544067,1.6673922538757324,31
SITE19,198,154,44,32,47,0.27272728085517883,0.9318181872367859,0.32417136430740356,1.1590908765792847,1.738599181175232,1.6453904151916503,1.6572314898173015,32
SITE20,33,23,10,51,60,0.4000000059604645,0.6000000238418579,-1.8865981101989746,3.200000047683716,4.732863903045654,1.3663249015808105,1.4981907606124878,51
SITE21,61,47,14,20,35,0.2142857164144516,0.6428571343421936,-0.9237977266311646,2.7142856121063232,3.964124917984009,1.635891318321228,1.7603093385696411,20
SITE22,281,221,60,14,29,0.36666667461395264,0.8833333253860474,-0.016736388206481934,1.100000023841858,1.6431677341461182,1.585838692528861,1.6306977272033691,14
SITE24,37,26,11,16,31,0.27272728085517883,0.5454545617103577,-0.5543478727340698,2.3636362552642822,3.074824333190918,1.3771756291389465,1.780800223350525,16
SITE25,100,76,24,27,42,0.2083333283662796,0.6666666865348816,-0.12539076805114746,1.875,2.3717081546783447,1.820608425140381,1.997432827949524,27
SITE26,57,41,16,9,24,0.3125,0.875,0.3330345153808594,1.5625,2.4109127521514893,1.6234131654103596,1.8701729774475098,9
SITE29,59,42,17,15,30,0.23529411852359772,0.47058823704719543,-0.49860072135925293,2.6470587253570557,3.3343136310577393,1.9159340063730876,1.9072878956794739,15
SITE30,45,32,13,2,17,0.1538461595773697,0.4615384638309479,-0.09314358234405518,2.615384578704834,3.1622776985168457,2.0360684394836426,2.2632415294647217,2
SITE33,76,54,22,12,27,0.22727273404598236,0.6363636255264282,-0.23627078533172607,2.0,2.8284270763397217,1.9384993314743042,1.8699020147323608,12
SITE35,25,18,7,29,44,0.5714285969734192,0.5714285969734192,-0.523876428604126,3.0,4.705619812011719,1.0597262978553772,1.1460577249526978,29
SITE36,29,19,10,8,23,0.30000001192092896,0.5,-1.0418004989624023,3.5999999046325684,5.039841175079346,1.5232991576194763,1.7611607313156128,8
SITE40,95,71,24,16,31,0.125,0.75,-0.43059611320495605,1.9583333730697632,2.440969705581665,1.8938273668289185,1.8435702323913574,16
SITE41,132,101,31,16,31,0.22580644488334656,0.7096773982048035,-0.10669875144958496,1.8064515590667725,2.396233558654785,2.065734829221453,2.0229986906051636,16
SITE42,36,24,12,9,24,0.5833333134651184,0.5833333134651184,-0.15652179718017578,2.0833332538604736,3.3291640281677246,1.5334795117378235,1.5178550481796265,9
SITE43,73,54,19,9,24,0.21052631735801697,0.42105263471603394,-1.616713285446167,3.1052632331848145,3.9403445720672607,2.0048330426216125,1.9692023992538452,9
SITE45,86,63,23,7,22,0.260869562625885,0.52173912525177,-0.39944279193878174,2.6086957454681396,3.375100612640381,2.0726934373378754,2.0560675859451294,7
SITE48,56,40,16,11,26,0.1875,0.625,-0.002364039421081543,2.125,2.5739076137542725,1.9836374521255493,2.0906388759613037,11
SITE49,33,23,10,9,24,0.30000001192092896,0.699999988079071,0.009009063243865967,1.600000023841858,2.0976176261901855,1.9013853669166565,2.05126953125,9
SITE50,32,24,8,47,60,0.375,0.625,0.24237561225891113,1.875,2.7156951427459717,0.9464284181594849,1.0938247442245483,47
SITE53,53,38,15,11,26,0.3333333432674408,0.6000000238418579,-0.9077033996582031,2.3333332538604736,3.4156503677368164,1.9015104373296101,2.055741548538208,11
SITE58,79,58,21,3,18,0.190476194024086,0.5714285969734192,-0.6594005823135376,2.4761905670166016,3.323795795440674,2.193577527999878,2.0855841040611267,3
SITE59,43,31,12,10,25,0.25,0.75,-0.16203272342681885,1.9166666269302368,2.901149272918701,1.8122228980064392,1.9200317859649658,10
SITE65,41,28,13,14,29,0.3076923191547394,0.6153846383094788,-0.25578224658966064,2.307692289352417,3.3050076961517334,1.8542833924293518,2.103384017944336,14
SITE66,36,25,11,51,60,0.3636363744735718,0.6363636255264282,-0.7395349740982056,2.545454502105713,3.5161962509155273,1.5692436695098877,1.90045166015625,51
SITE73,71,53,18,20,35,0.2777777910232544,0.7777777910232544,0.2429652214050293,1.9444444179534912,2.778888702392578,1.5191417634487152,1.7125735878944397,20
SITE75,48,35,13,51,60,0.23076923191547394,0.692307710647583,0.22334551811218262,1.7692307233810425,2.2360680103302,1.6329865455627441,1.8121588230133057,51
SITE76,26,19,7,10,25,0.2857142984867096,0.4285714328289032,-1.6677525043487549,4.5714287757873535,5.781744480133057,1.7802711129188538,1.9058427810668945,10
SITE78,36,25,11,16,31,0.27272728085517883,0.4545454680919647,-0.9475408792495728,3.2727272510528564,4.431293487548828,1.9027518033981323,2.0164639949798584,16
SITE80,26,20,6,43,58,0.5,0.5,-0.34794509410858154,2.3333332538604736,3.696845531463623,1.1221778988838196,1.0591483116149902,43
SITE81,36,26,10,36,51,0.4000000059604645,0.699999988079071,-0.22207605838775635,2.0999999046325684,3.0495901107788086,1.3187255263328552,1.334306001663208,36
SITE84,61,45,16,14,29,0.25,0.75,-0.5593219995498657,1.875,2.397915840148926,1.9105313618977864,1.8454513549804688,14
SITE86,34,24,10,17,32,0.20000000298023224,0.699999988079071,-0.5789471864700317,2.4000000953674316,3.2863354682922363,2.106966495513916,2.0358128547668457,17
SITE94,81,60,21,54,60,0.4761904776096344,0.6666666865348816,-0.09668314456939697,1.7142857313156128,2.6547350883483887,1.5877647995948792,1.461021900177002,54
SITE95,23,17,6,10,25,0.3333333432674408,0.3333333432674408,-1.178173542022705,3.8333332538604736,5.212165355682373,1.236793339252472,1.40871262550354,10
SITE96,21,15,6,30,45,0.5,0.8333333134651184,-0.4545454978942871,2.0,3.464101552963257,0.8784496784210205,0.9354147911071777,30
SITE97,25,18,7,10,25,0.5714285969734192,0.7142857313156128,-0.3085585832595825,2.857142925262451,4.869731426239014,0.8468438386917114,1.062041163444519,10
SITE98,78,58,20,43,58,0.25,0.6499999761581421,-0.4876633882522583,2.3499999046325684,3.2015621662139893,1.8025679290294647,1.9895826578140259,43
SITE104,48,36,12,12,27,0.25,0.75,-0.3606297969818115,1.8333333730697632,2.4494898319244385,1.874255657196045,1.7140130996704102,12
SITE106,52,38,14,23,38,0.4285714328289032,0.7142857313156128,-0.28515636920928955,1.9285714626312256,3.173551321029663,1.3913312753041585,1.575986623764038,23
SITE111,55,40,15,60,60,0.2666666805744171,0.4000000059604645,-0.3629201650619507,2.5999999046325684,3.396076202392578,1.7306015491485596,1.901543378829956,60
SITE115,67,50,17,2,17,0.1764705926179886,0.47058823704719543,-1.4337222576141357,3.058823585510254,3.985266923904419,2.3005847930908203,1.9531379342079163,2
SITE116,55,41,14,25,40,0.3571428656578064,0.6428571343421936,-0.3686354160308838,2.142857074737549,3.207134962081909,1.6147443056106567,1.9250268936157227,25
SITE117,105,81,24,42,57,0.25,0.75,-0.33386266231536865,1.75,2.415229558944702,1.7231819828351338,1.8341533541679382,42
SITE119,41,29,12,21,36,0.25,0.5,-0.6494845151901245,2.8333332538604736,3.6514837741851807,1.6415014266967773,1.8350428342819214,21
SITE125,27,19,8,4,19,0.125,0.25,-3.4051566123962402,5.375,6.113509654998779,2.43790864944458,2.163808584213257,4
SITE127,60,44,16,8,23,0.1875,0.75,-0.2124999761581421,1.8125,2.462214469909668,2.002689480781555,2.1242151260375977,8
SITE128,71,53,18,32,47,0.2222222238779068,0.5,-0.7280663251876831,2.6111111640930176,3.40750789642334,1.9053906798362732,1.7886117100715637,32
SITE129,59,44,15,1,16,0.20000000298023224,0.46666666865348816,-0.8938548564910889,3.066666603088379,3.881580352783203,2.310530662536621,2.226217031478882,1
SITE132,34,26,8,27,42,0.25,0.75,-0.31123387813568115,2.125,3.335416078567505,1.8943477272987366,1.6761751174926758,27
SITE134,26,17,9,8,23,0.3333333432674408,0.4444444477558136,-0.0983051061630249,2.222222328186035,2.8284270763397217,2.1966559886932373,1.8001428842544556,8
SITE156,72,55,17,8,23,0.1764705926179886,0.529411792755127,-0.658536434173584,2.588235378265381,3.3606722354888916,1.911911964416504,1.7321460843086243,8
SITE160,34,24,10,8,23,0.20000000298023224,0.5,-0.6110304594039917,2.5,3.3316662311553955,1.647400438785553,1.9828652143478394,8
SITE161,56,42,14,14,29,0.2857142984867096,0.5714285969734192,-0.31249988079071045,2.142857074737549,2.9277002811431885,1.7057687044143677,1.8082494735717773,14
SITE165,31,24,7,18,33,0.5714285969734192,0.5714285969734192,-1.0810811519622803,2.5714285373687744,3.964124917984009,1.6572914719581604,1.5066189765930176,18
SITE167,38,27,11,22,37,0.3636363744735718,0.5454545617103577,-2.4173331260681152,3.1818182468414307,4.602370738983154,1.4330866932868958,1.6590238809585571,22
SITE168,39,29,10,51,60,0.4000000059604645,0.800000011920929,0.3236212134361267,1.7000000476837158,2.5495097637176514,1.3112067580223083,1.3869165182113647,51
SITE169,53,39,14,36,51,0.3571428656578064,0.5714285969734192,-0.3729904890060425,2.142857074737549,2.9519970417022705,1.4310630361239116,1.7548962831497192,36
SITE171,48,34,14,26,41,0.3571428656578064,0.6428571343421936,-0.6437700986862183,2.0714285373687744,3.240370273590088,1.6722293694814045,1.8721668720245361,26
SITE178,41,29,12,11,26,0.25,0.6666666865348816,-0.021276473999023438,1.8333333730697632,2.309401035308838,1.9025518298149109,1.9563813209533691,11
SITE179,109,82,27,24,39,0.29629629850387573,0.5925925970077515,-1.0784361362457275,2.4814815521240234,3.42647647857666,1.9452443321545918,1.9235044717788696,24
SITE186,78,59,19,39,54,0.21052631735801697,0.4736842215061188,-0.9167718887329102,3.1578948497772217,4.103913307189941,1.9164292216300964,2.0386709570884705,39
SITE193,55,40,15,10,25,0.4000000059604645,0.6000000238418579,-0.86292564868927,2.799999952316284,4.242640495300293,1.903808871905009,1.7677438259124756,10
