site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,54,60,0.2857142984867096,0.5714285969734192,-1.40625,2.142857074737549,2.8030595779418945,2.6871421337127686,2.7989401817321777,54
SITE5,40,29,11,6,21,0.09090909361839294,0.4545454680919647,-1.5283582210540771,3.090909004211426,3.7416574954986572,2.9752063751220703,3.1299448013305664,6
SITE6,47,34,13,4,19,0.1538461595773697,0.4615384638309479,-0.6942191123962402,3.615384578704834,4.44625997543335,3.325918356577555,3.652449607849121,4
SITE7,129,98,31,35,50,0.25806450843811035,0.6451612710952759,-0.004285216331481934,1.9032257795333862,2.4691646099090576,2.945420435496739,2.957661509513855,35
SITE8,57,43,14,60,60,0.2142857164144516,0.6428571343421936,-0.7236181497573853,2.0,2.6457512378692627,2.69073216120402,2.7592549324035645,60
SITE10,58,42,16,60,60,0.1875,0.375,-1.8470721244812012,3.5625,4.422951698303223,2.902008374532064,3.092268705368042,60
SITE11,27,21,6,60,60,0.3333333432674408,0.6666666865348816,-0.384615421295166,2.3333332538604736,3.1622776985168457,2.8385425806045532,3.063776969909668,60
SITE12,60,44,16,17,32,0.1875,0.5,-0.6070752143859863,2.5625,3.1523799896240234,3.1128106911977134,3.144695997238159,17
SITE13,133,104,29,60,60,0.27586206793785095,0.7931034564971924,-0.15895426273345947,1.6206896305084229,2.14154314994812,2.626301186425345,2.6584057807922363,60
SITE14,34,24,10,19,34,0.20000000298023224,0.6000000238418579,-0.640058159828186,2.5,3.3615472316741943,3.0784162282943726,3.0938539505004883,19
SITE15,74,55,19,60,60,0.15789473056793213,0.5789473652839661,-0.13224482536315918,2.3157894611358643,2.772040843963623,2.95845627784729,3.085739254951477,60
SITE17,77,56,21,3,18,0.190476194024086,0.3333333432674408,-1.9888129234313965,3.809523820877075,4.670066833496094,3.075360119342804,3.3139208555221558,3
SITE18,82,62,20,39,54,0.30000001192092896,0.550000011920929,-0.7081577777862549,2.450000047683716,3.3391613960266113,2.6218996047973633,2.824045777320862,39
SITE19,198,154,44,60,60,0.25,0.7272727489471436,-0.041690707206726074,1.6136363744735718,2.1584928035736084,2.4022990465164185,2.581841548283895,60
SITE20,33,23,10,7,22,0.20000000298023224,0.5,-0.0824742317199707,2.4000000953674316,2.898275375366211,3.2524460554122925,3.3393993377685547,7
SITE21,61,47,14,6,21,0.1428571492433548,0.6428571343421936,-0.005621552467346191,2.2142856121063232,2.8660576343536377,3.3714803059895835,3.373979330062866,6
SITE22,281,221,60,38,53,0.3499999940395355,0.8833333253860474,-0.04184091091156006,1.1333333253860474,1.6633299589157104,2.102911574499948,2.163167506456375,38
