site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,60,60,0.2857142984867096,0.5714285969734192,-1.40625,2.142857074737549,2.8030595779418945,2.4982964992523193,2.6811587810516357,60
SITE5,40,29,11,14,29,0.09090909361839294,0.4545454680919647,-1.5283582210540771,3.090909004211426,3.7416574954986572,2.8432291746139526,3.0052950382232666,14
SITE6,47,34,13,60,60,0.23076923191547394,0.5384615659713745,-0.8524340391159058,3.461538553237915,4.649234771728516,3.4380922317504883,3.592055320739746,60
SITE7,129,98,31,57,60,0.25806450843811035,0.6451612710952759,-0.004285216331481934,1.9032257795333862,2.4691646099090576,3.0772275243486678,2.820982813835144,57
SITE8,57,43,14,60,60,0.2142857164144516,0.6428571343421936,-0.7236181497573853,2.0,2.6457512378692627,2.627065658569336,2.7322044372558594,60
SITE10,58,42,16,60,60,0.1875,0.375,-1.8470721244812012,3.5625,4.422951698303223,2.866764942804972,3.052180767059326,60
SITE11,27,21,6,60,60,0.3333333432674408,0.6666666865348816,-0.384615421295166,2.3333332538604736,3.1622776985168457,3.046087622642517,3.013248920440674,60
SITE12,60,44,16,60,60,0.1875,0.5,-0.6070752143859863,2.5625,3.1523799896240234,3.075724999109904,3.0795645713806152,60
SITE13,133,104,29,59,60,0.27586206793785095,0.7931034564971924,-0.15895426273345947,1.6206896305084229,2.14154314994812,2.5458429200308665,2.4913967847824097,59
SITE14,34,24,10,60,60,0.20000000298023224,0.6000000238418579,-0.640058159828186,2.5,3.3615472316741943,2.9199025630950928,3.052358627319336,60
SITE15,74,55,19,60,60,0.15789473056793213,0.6315789222717285,-0.16326522827148438,2.3157894611358643,2.8097574710845947,2.877571702003479,3.1224422454833984,60
SITE17,77,56,21,60,60,0.190476194024086,0.3333333432674408,-1.9888129234313965,3.809523820877075,4.670066833496094,3.03399920463562,3.2832177877426147,60
SITE18,82,62,20,60,60,0.30000001192092896,0.550000011920929,-0.7081577777862549,2.450000047683716,3.3391613960266113,2.659453332424164,2.8589532375335693,60
SITE19,198,154,44,46,60,0.25,0.7272727489471436,-0.041690707206726074,1.6136363744735718,2.1584928035736084,2.482700729370117,2.743659575780233,46
SITE20,33,23,10,43,58,0.20000000298023224,0.800000011920929,-0.18556702136993408,2.200000047683716,3.0331501960754395,3.200561046600342,3.079566717147827,43
SITE21,61,47,14,60,60,0.1428571492433548,0.7857142686843872,-0.1805121898651123,2.2142856121063232,3.105295181274414,3.287355899810791,3.2816643714904785,60
