--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.2857     0.5714     -0.7062    1.8571    2.3604    
SITE5        11     0.0909     0.3636     -1.7910    3.2727    3.9312    
SITE6        13     0.4615     0.8462     0.6242     1.1538    2.0939    
SITE7        31     0.3226     0.6774     -0.3816    1.9355    2.8960    
SITE8        14     0.1429     0.7857     -0.1960    1.7143    2.2039    
SITE10       16     0.1875     0.5625     -0.4281    2.4375    3.1325    
SITE11       6      0.3333     0.5000     -0.6615    2.6667    3.4641    
SITE12       16     0.4375     0.7500     0.2925     1.3750    2.0917    
SITE13       29     0.2069     0.7586     -0.1764    1.7586    2.1576    
SITE14       10     0.1000     0.7000     -0.1901    2.2000    2.8636    
SITE15       19     0.1579     0.5789     -0.3727    2.3684    3.0522    
SITE17       21     0.2381     0.6667     -0.2464    2.1429    3.0158    
SITE18       20     0.4000     0.9000     0.4638     1.2000    1.8708    
SITE19       44     0.4091     0.8864     0.2429     1.0682    1.8402    
SITE20       10     0.3000     0.8000     -0.3402    2.0000    3.2249    
SITE21       14     0.4286     0.8571     0.7377     1.0000    1.4639    
SITE22       60     0.4667     0.9000     0.2594     0.9000    1.4024    
SITE24       11     0.3636     0.5455     -0.0312    1.9091    2.5045    
SITE25       24     0.1250     0.6250     -0.2921    2.1250    2.5413    
SITE26       16     0.4375     0.8125     0.5052     1.3125    2.0767    
SITE29       17     0.1176     0.6471     0.1119     2.1176    2.5668    
SITE30       13     0.3846     0.6923     0.4787     1.5385    2.1839    
SITE33       22     0.3636     0.8182     0.3748     1.3182    2.0113    
SITE35       7      0.5714     0.8571     0.8329     1.0000    1.5584    
SITE36       10     0.4000     0.8000     0.2605     1.8000    3.0332    
SITE40       24     0.2083     0.6667     -0.8208    2.1667    2.7538    
SITE41       31     0.5161     0.8387     0.4218     1.0645    1.7321    
SITE42       12     0.6667     0.7500     0.4696     1.2500    2.2546    
SITE43       19     0.3684     0.6316     -0.2507    1.8421    2.7242    
