site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE4,28,15,1,12,60,60,0.0,0.5833333134651184,-1.75,2.3333332538604736,2.708012819290161,0.35988563299179077,0.006237444467842579,6.012322902679443,60
SITE5,40,19,5,16,1,16,0.1875,0.5625,-1.251082181930542,2.25,2.8504385948181152,2.1207220554351807,2.2000348567962646,2.1370387077331543,1
SITE6,47,29,9,9,2,17,0.1111111119389534,0.6666666865348816,0.44919174909591675,1.8888888359069824,2.4267032146453857,1.8589807152748108,1.9409081935882568,1.972084879875183,2
SITE7,129,75,17,37,1,16,0.18918919563293457,0.5945945978164673,-0.29175007343292236,2.270270347595215,2.9131574630737305,1.9687666416168212,1.805175542831421,2.0690959294637046,1
SITE8,57,36,6,15,1,16,0.20000000298023224,0.7333333492279053,-0.22983872890472412,1.5333333015441895,2.0165977478027344,1.913740595181783,2.4373998641967773,1.8300657272338867,1
SITE10,58,33,7,18,11,26,0.1111111119389534,0.5555555820465088,-0.40856027603149414,2.5,3.1710495948791504,1.644879976908366,2.12640380859375,1.925354540348053,11
SITE11,27,15,5,7,1,16,0.4285714328289032,0.5714285969734192,-0.649038553237915,1.8571428060531616,2.6457512378692627,1.8766332864761353,2.252352237701416,1.8315564393997192,1
SITE12,60,35,8,17,7,22,0.05882352963089943,0.529411792755127,-1.1531190872192383,2.3529412746429443,2.8075528144836426,1.0807702541351318,1.6418319940567017,1.5119436606764793,7
SITE13,133,81,16,36,1,16,0.2222222238779068,0.5833333134651184,-0.9756510257720947,2.305555582046509,2.8528738021850586,1.8554918964703877,1.9133754968643188,1.9270121256510417,1
SITE14,34,24,4,6,1,16,0.1666666716337204,0.5,-1.3333332538604736,2.3333332538604736,2.6457512378692627,1.8678622841835022,2.262688159942627,2.0036568641662598,1
SITE15,74,46,10,18,2,17,0.2777777910232544,0.7222222089767456,0.2475883960723877,1.7222222089767456,2.2484562397003174,2.0906955798467,1.990173578262329,1.7883872985839844,2
SITE17,77,44,6,27,5,20,0.3333333432674408,0.8148148059844971,0.4304687976837158,1.3333333730697632,2.0,1.9662527243296306,1.8135579824447632,1.968882441520691,5
SITE18,82,49,9,24,5,20,0.25,0.75,0.33783382177352905,1.5,1.9790570735931396,1.4421155750751495,1.0596939325332642,1.7612606287002563,5
SITE19,198,124,27,47,2,17,0.27659574151039124,0.8085106611251831,0.16347205638885498,1.4255318641662598,2.036893844604492,1.6709799766540527,1.5239011645317078,1.7989357312520344,2
SITE20,33,16,5,12,1,16,0.25,0.75,0.2314050793647766,1.6666666269302368,2.2730302810668945,2.1966476440429688,2.0470244884490967,1.8905853033065796,1
SITE21,61,40,8,13,1,16,0.38461539149284363,0.692307710647583,-0.07298779487609863,1.923076868057251,3.0508511066436768,1.644894003868103,1.9355385303497314,1.9995272159576416,1
SITE22,281,172,46,63,11,26,0.460317462682724,0.9682539701461792,0.46845191717147827,0.8253968358039856,1.2084360122680664,1.017542297189886,1.2601871887842815,1.91169273853302,11
SITE24,37,21,6,10,1,16,0.30000001192092896,0.5,-1.633333444595337,2.0999999046325684,2.8106939792633057,2.013108491897583,2.4392528533935547,1.85626220703125,1
SITE25,100,59,16,25,6,21,0.07999999821186066,0.7200000286102295,-0.15686273574829102,1.840000033378601,2.172556161880493,1.8339985311031342,2.00229811668396,2.0398443937301636,6
SITE26,57,37,4,16,1,16,0.375,0.6875,0.5144927501678467,1.4375,2.0463380813598633,1.9359104235967,2.095431089401245,1.8060402870178223,1
SITE29,59,32,9,18,4,19,0.1666666716337204,0.6111111044883728,-1.0112297534942627,2.5,3.3249895572662354,1.7358907461166382,2.0762779712677,2.0356112718582153,4
SITE30,45,22,6,17,2,17,0.1764705926179886,0.5882353186607361,-0.32185041904449463,2.2352941036224365,3.0486254692077637,1.6646689176559448,1.756888747215271,2.0209661722183228,2
SITE33,76,41,9,26,13,28,0.1538461595773697,0.6538461446762085,-0.32251083850860596,2.153846263885498,2.689008951187134,1.0178583264350891,1.7032663822174072,2.777583599090576,13
SITE35,25,15,2,8,18,33,0.625,1.0,0.8150289058685303,0.75,1.2247449159622192,0.9389556050300598,0.6141695976257324,1.0986641645431519,18
SITE36,29,17,3,9,6,21,0.4444444477558136,0.5555555820465088,-0.529676079750061,3.0,4.582575798034668,2.29567551612854,2.0652689933776855,2.0950868129730225,6
