--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.2857     0.7143     -1.1875    2.0000    2.6726    
SITE5        11     0.0909     0.4545     -0.7731    2.5455    3.1334    
SITE6        13     0.3846     0.7692     0.4199     1.6923    2.6018    
SITE7        31     0.3226     0.7742     0.1711     1.5484    2.2433    
SITE8        14     0.2857     0.7143     -0.0905    1.5714    2.1044    
SITE10       16     0.3125     0.6250     -0.3644    2.1250    3.0619    
SITE11       6      0.1667     0.5000     -1.5154    3.5000    4.2622    
SITE12       16     0.5625     0.8125     0.5856     0.9375    1.6008    
SITE13       29     0.3103     0.7931     -0.1241    1.5517    2.1091    
SITE14       10     0.3000     0.7000     0.3614     1.6000    2.0976    
SITE15       19     0.4211     0.6842     0.0849     1.6842    2.4921    
SITE17       21     0.1905     0.5238     -0.2399    2.3810    3.0079    
SITE18       20     0.4500     0.7500     -0.1260    1.6500    2.7111    
SITE19       44     0.3636     0.7955     0.1971     1.2727    1.8950    
SITE20       10     0.3000     0.7000     -0.6624    2.3000    3.5917    
SITE21       14     0.4286     0.8571     0.7114     1.0714    1.5353    
SITE22       60     0.4500     0.9167     0.3787     0.8167    1.2845    
SITE24       11     0.2727     0.5455     -0.0163    2.0000    2.4863    
SITE25       24     0.2917     0.6667     0.0497     1.6667    2.1794    
SITE26       16     0.4375     0.8125     0.3115     1.5000    2.4495    
SITE29       17     0.4118     0.7059     0.2626     1.5882    2.3389    
SITE30       13     0.2308     0.7692     0.4366     1.6154    2.2702    
SITE33       22     0.3636     0.7727     0.4170     1.3182    1.9424    
SITE35       7      0.8571     1.0000     0.9607     0.2857    0.7559    
SITE36       10     0.4000     0.9000     0.8392     1.0000    1.4142    
SITE40       24     0.1667     0.6667     -0.8008    2.2500    2.7386    
SITE41       31     0.3548     0.6774     -0.1191    1.6774    2.4097    
SITE42       12     0.4167     0.7500     0.4522     1.5833    2.2913    
SITE43       19     0.3158     0.6842     -0.0201    1.7368    2.4602    
SITE45       23     0.2609     0.6522     -0.0149    2.1739    2.8742    
SITE48       16     0.4375     0.6250     -0.0402    1.7500    2.6220    
SITE49       10     0.3000     0.8000     0.1892     1.4000    1.8974    
SITE50       8      0.8750     1.0000     0.9872     0.1250    0.3536    
SITE53       15     0.1333     0.6667     -0.2536    2.2000    2.7689    
SITE58       21     0.3810     0.5714     -0.1444    2.0000    2.7603    
SITE59       12     0.0833     0.3333     -2.4631    4.2500    5.0083    
SITE65       13     0.3077     0.4615     -0.8395    3.0769    4.0000    
SITE66       11     0.2727     0.4545     -2.2744    3.4545    4.8242    
SITE73       18     0.4444     0.8333     0.3301     1.5000    2.6141    
SITE75       13     0.6154     0.7692     0.1756     1.3077    2.3038    
SITE76       7      0.5714     0.8571     0.7606     1.0000    1.7321    
SITE78       11     0.4545     0.7273     0.5582     1.3636    2.1106    
SITE80       6      0.8333     1.0000     0.9342     0.3333    0.8165    
