site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,17,32,0.2857142984867096,0.7142857313156128,-1.1875,2.0,2.672612428665161,0.9536959230899811,1.5982288122177124,17
SITE5,40,29,11,1,16,0.09090909361839294,0.4545454680919647,-0.7731343507766724,2.545454502105713,3.1333978176116943,2.0283217430114746,2.0665786266326904,1
SITE6,47,34,13,9,24,0.38461539149284363,0.7692307829856873,0.4198783040046692,1.692307710647583,2.6017744541168213,1.5346778233846028,1.5935543775558472,9
SITE7,129,98,31,6,21,0.32258063554763794,0.774193525314331,0.17106616497039795,1.548387050628662,2.243269443511963,1.7665122577122279,1.8646323084831238,6
SITE8,57,43,14,5,20,0.2857142984867096,0.7142857313156128,-0.09045231342315674,1.5714285373687744,2.104417085647583,1.8317749897638957,1.9459662437438965,5
SITE10,58,42,16,10,25,0.3125,0.625,-0.3644115924835205,2.125,3.0618622303009033,1.5763976573944092,1.9042736291885376,10
SITE11,27,21,6,9,24,0.1666666716337204,0.5,-1.5153846740722656,3.5,4.262237071990967,1.3936195969581604,1.8595718145370483,9
SITE12,60,44,16,7,22,0.5625,0.8125,0.5855969786643982,0.9375,1.6007810831069946,1.3525256315867107,1.4331858158111572,7
SITE13,133,104,29,3,18,0.3103448152542114,0.7931034564971924,-0.12409853935241699,1.5517241954803467,2.10909366607666,1.821068355015346,1.9838644862174988,3
SITE14,34,24,10,8,23,0.30000001192092896,0.699999988079071,0.3613932728767395,1.600000023841858,2.0976176261901855,1.6483238339424133,1.793087363243103,8
SITE15,74,55,19,18,33,0.42105263471603394,0.6842105388641357,0.08489799499511719,1.6842105388641357,2.4920928478240967,1.2344866394996643,1.6750771403312683,18
SITE17,77,56,21,5,20,0.190476194024086,0.523809552192688,-0.2399005889892578,2.3809523582458496,3.0079259872436523,1.7931645810604095,2.0208491683006287,5
SITE18,82,62,20,4,19,0.44999998807907104,0.75,-0.12600529193878174,1.649999976158142,2.7110884189605713,1.3986738622188568,2.01497745513916,4
SITE19,198,154,44,7,22,0.3636363744735718,0.7954545617103577,0.19713592529296875,1.2727272510528564,1.8949693441390991,1.3637042880058288,1.5556457042694092,7
SITE20,33,23,10,12,27,0.30000001192092896,0.699999988079071,-0.6623711585998535,2.299999952316284,3.5916569232940674,1.2586938738822937,1.6348055601119995,12
SITE21,61,47,14,6,21,0.4285714328289032,0.8571428656578064,0.7114303410053253,1.0714285373687744,1.5352989435195923,1.405434290568034,1.5142333507537842,6
SITE22,281,221,60,3,18,0.44999998807907104,0.9166666865348816,0.3786611557006836,0.8166666626930237,1.2845232486724854,1.3288434275559016,1.3799453377723694,3
SITE24,37,26,11,9,24,0.27272728085517883,0.5454545617103577,-0.016304373741149902,2.0,2.486326217651367,1.3510562777519226,1.8533239364624023,9
