site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE10,16,0,16,0,0,0.0625,0.8125,0.4451392889022827,1.6875,1.9525624513626099,0.0,0.0,0
SITE104,12,0,12,0,0,0.0833333358168602,0.5,-2.0236217975616455,3.1666667461395264,3.6514837741851807,0.0,0.0,0
SITE106,14,0,14,0,0,0.1428571492433548,0.7142857313156128,0.3346353769302368,1.7857142686843872,2.2834811210632324,0.0,0.0,0
SITE11,6,0,6,0,0,0.1666666716337204,0.5,-0.9846154451370239,3.0,3.7859387397766113,0.0,0.0,0
SITE111,15,0,15,0,0,0.2666666805744171,0.7333333492279053,0.40913867950439453,1.6666666269302368,2.2360680103302,0.0,0.0,0
SITE115,17,0,17,0,0,0.29411765933036804,0.6470588445663452,-0.1898198127746582,2.0,2.786522150039673,0.0,0.0,0
SITE116,14,0,14,0,0,0.2857142984867096,0.8571428656578064,-0.04548537731170654,1.7142857313156128,2.8030595779418945,0.0,0.0,0
SITE117,24,0,24,0,0,0.1666666716337204,0.5,-1.2580389976501465,2.4583332538604736,3.142451286315918,0.0,0.0,0
SITE119,12,0,12,0,0,0.1666666716337204,0.6666666865348816,-0.3195875883102417,2.3333332538604736,3.265986442565918,0.0,0.0,0
SITE12,16,0,16,0,0,0.3125,0.8125,0.2924826145172119,1.5,2.0916500091552734,0.0,0.0,0
SITE125,8,0,8,0,0,0.125,0.5,-0.35543274879455566,2.75,3.391165018081665,0.0,0.0,0
SITE127,16,0,16,0,0,0.125,0.6875,-0.2875000238418579,2.0625,2.5372228622436523,0.0,0.0,0
SITE128,18,0,18,0,0,0.0555555559694767,0.5,-0.4221407175064087,2.555555582046509,3.0912060737609863,0.0,0.0,0
SITE129,15,0,15,0,0,0.0,0.5333333611488342,-0.1564246416091919,2.5333333015441895,3.0331501960754395,0.0,0.0,0
SITE13,29,0,29,0,0,0.17241379618644714,0.5862069129943848,-0.9693509340286255,2.275861978530884,2.7916131019592285,0.0,0.0,0
SITE132,8,0,8,0,0,0.25,0.625,-0.9152854681015015,3.0,4.031128883361816,0.0,0.0,0
SITE134,9,0,9,0,0,0.3333333432674408,0.6666666865348816,-0.38813555240631104,2.1111111640930176,3.1797971725463867,0.0,0.0,0
SITE14,10,0,10,0,0,0.20000000298023224,0.699999988079071,-0.17561697959899902,2.0999999046325684,2.8460500240325928,0.0,0.0,0
SITE15,19,0,19,0,0,0.21052631735801697,0.6315789222717285,-0.19428563117980957,2.1052632331848145,2.8469743728637695,0.0,0.0,0
SITE156,17,0,17,0,0,0.29411765933036804,1.0,0.7149390578269958,1.1176470518112183,1.3932610750198364,0.0,0.0,0
SITE160,10,0,10,0,0,0.4000000059604645,0.800000011920929,0.4920174479484558,1.2999999523162842,1.8708287477493286,0.0,0.0,0
SITE161,14,0,14,0,0,0.2857142984867096,0.5,-0.7609373331069946,2.5,3.391165018081665,0.0,0.0,0
SITE165,7,0,7,0,0,0.1428571492433548,0.8571428656578064,0.37567567825317383,1.5714285373687744,2.1712405681610107,0.0,0.0,0
SITE167,11,0,11,0,0,0.27272728085517883,0.5454545617103577,-0.7599998712539673,2.3636362552642822,3.302891254425049,0.0,0.0,0
SITE168,10,0,10,0,0,0.4000000059604645,0.8999999761581421,0.47970861196517944,1.399999976158142,2.2360680103302,0.0,0.0,0
SITE169,14,0,14,0,0,0.2142857164144516,0.6428571343421936,-0.024115920066833496,2.0714285373687744,2.5495097637176514,0.0,0.0,0
SITE17,21,0,21,0,0,0.095238097012043,0.6190476417541504,0.0537601113319397,2.142857074737549,2.6276912689208984,0.0,0.0,0
SITE171,14,0,14,0,0,0.1428571492433548,0.7142857313156128,-1.3929712772369385,2.7142856121063232,3.9096949100494385,0.0,0.0,0
SITE178,12,0,12,0,0,0.0833333358168602,0.5,-0.7553189992904663,2.6666667461395264,3.0276503562927246,0.0,0.0,0
SITE179,27,0,27,0,0,0.25925925374031067,0.5925925970077515,-1.0128703117370605,2.407407522201538,3.371997833251953,0.0,0.0,0
SITE18,20,0,20,0,0,0.25,0.8500000238418579,0.27996939420700073,1.600000023841858,2.1679482460021973,0.0,0.0,0
SITE186,19,0,19,0,0,0.2631579041481018,0.5789473652839661,0.32313990592956543,1.9473683834075928,2.438722848892212,0.0,0.0,0
SITE19,44,0,44,0,0,0.20454545319080353,0.75,-0.33641302585601807,1.795454502105713,2.4448461532592773,0.0,0.0,0
SITE193,15,0,15,0,0,0.2666666805744171,0.6000000238418579,-1.0285191535949707,2.933333396911621,4.427188873291016,0.0,0.0,0
SITE194,18,0,18,0,0,0.2222222238779068,0.6666666865348816,-1.27616286277771,2.222222328186035,3.109126329421997,0.0,0.0,0
SITE198,14,0,14,0,0,0.4285714328289032,0.7142857313156128,-0.6495901346206665,1.7857142686843872,2.8660576343536377,0.0,0.0,0
SITE20,10,0,10,0,0,0.30000001192092896,0.5,-1.2938144207000732,3.0,4.2190046310424805,0.0,0.0,0
SITE203,33,0,33,0,0,0.27272728085517883,0.7575757503509521,0.38527750968933105,1.545454502105713,2.096172571182251,0.0,0.0,0
SITE205,24,0,24,0,0,0.0833333358168602,0.6666666865348816,-0.4357846975326538,2.4166667461395264,3.013856887817383,0.0,0.0,0
SITE207,12,0,12,0,0,0.1666666716337204,0.8333333134651184,-0.16756761074066162,1.6666666269302368,2.1213202476501465,0.0,0.0,0
SITE208,13,0,13,0,0,0.3076923191547394,0.9230769276618958,0.6974612176418304,1.1538461446762085,1.5932550430297852,0.0,0.0,0
SITE209,8,0,8,0,0,0.125,0.5,-1.8379204273223877,3.0,3.8078866004943848,0.0,0.0,0
SITE21,14,0,14,0,0,0.4285714328289032,1.0,0.7988756895065308,0.9285714030265808,1.2817399501800537,0.0,0.0,0
SITE212,9,0,9,0,0,0.0,0.4444444477558136,-2.3392224311828613,4.0,4.830459117889404,0.0,0.0,0
SITE215,33,0,33,0,0,0.21212121844291687,0.7878788113594055,0.21219098567962646,1.7878787517547607,2.443296432495117,0.0,0.0,0
SITE217,16,0,16,0,0,0.3125,0.75,0.05555558204650879,1.75,2.524876117706299,0.0,0.0,0
SITE219,15,0,15,0,0,0.2666666805744171,0.5333333611488342,-0.6921768188476562,2.5999999046325684,3.642343521118164,0.0,0.0,0
SITE22,60,0,60,0,0,0.3166666626930237,0.8833333253860474,0.06485360860824585,1.149999976158142,1.575859546661377,0.0,0.0,0
SITE229,14,0,14,0,0,0.0,0.5714285969734192,-0.11855685710906982,2.4285714626312256,2.976095199584961,0.0,0.0,0
SITE230,11,0,11,0,0,0.27272728085517883,0.6363636255264282,-0.4120444059371948,2.545454502105713,3.8376128673553467,0.0,0.0,0
SITE231,7,0,7,0,0,0.1428571492433548,0.5714285969734192,-0.26126134395599365,2.5714285373687744,3.380617141723633,0.0,0.0,0
SITE234,11,0,11,0,0,0.09090909361839294,0.7272727489471436,-0.4627659320831299,1.8181818723678589,2.132007122039795,0.0,0.0,0
SITE239,15,0,15,0,0,0.3333333432674408,0.7333333492279053,-0.5416666269302368,2.3333332538604736,3.5118844509124756,0.0,0.0,0
SITE24,11,0,11,0,0,0.1818181872367859,0.1818181872367859,-1.0923914909362793,3.090909004211426,3.567530393600464,0.0,0.0,0
SITE240,14,0,14,0,0,0.2857142984867096,0.6428571343421936,-0.16282129287719727,2.142857074737549,3.0,0.0,0.0,0
SITE241,25,0,25,0,0,0.36000001430511475,0.800000011920929,0.3666943907737732,1.440000057220459,2.2090721130371094,0.0,0.0,0
SITE244,12,0,12,0,0,0.25,0.75,0.20889592170715332,1.75,2.629955530166626,0.0,0.0,0
SITE245,15,0,15,0,0,0.13333334028720856,0.6666666865348816,0.38271600008010864,1.8666666746139526,2.309401035308838,0.0,0.0,0
SITE25,24,0,24,0,0,0.1666666716337204,0.625,-0.6505731344223022,2.3333332538604736,2.872281312942505,0.0,0.0,0
SITE251,11,0,11,0,0,0.27272728085517883,0.6363636255264282,0.16166281700134277,1.8181818723678589,2.4494898319244385,0.0,0.0,0
SITE253,30,0,30,0,0,0.1666666716337204,0.6000000238418579,-0.2677575349807739,2.1666667461395264,2.798809289932251,0.0,0.0,0
SITE256,5,0,5,0,0,0.20000000298023224,0.800000011920929,-0.20689666271209717,1.600000023841858,2.366431951522827,0.0,0.0,0
SITE258,12,0,12,0,0,0.1666666716337204,0.6666666865348816,-0.8611111640930176,2.5,3.34165620803833,0.0,0.0,0
SITE259,9,0,9,0,0,0.4444444477558136,0.5555555820465088,-0.3381056785583496,2.555555582046509,3.872983455657959,0.0,0.0,0
SITE26,16,0,16,0,0,0.1875,0.8125,0.584043025970459,1.625,1.9039433002471924,0.0,0.0,0
SITE261,15,0,15,0,0,0.46666666865348816,0.7333333492279053,0.3716861605644226,1.399999976158142,2.294921875,0.0,0.0,0
SITE262,20,0,20,0,0,0.3499999940395355,0.699999988079071,-0.6302368640899658,1.850000023841858,2.991655111312866,0.0,0.0,0
SITE268,13,0,13,0,0,0.1538461595773697,0.5384615659713745,-0.9583929777145386,3.076923131942749,4.0191850662231445,0.0,0.0,0
SITE272,13,0,13,0,0,0.23076923191547394,0.7692307829856873,0.1243056058883667,1.923076868057251,2.731581687927246,0.0,0.0,0
SITE276,12,0,12,0,0,0.25,0.5833333134651184,-0.4446603059768677,1.8333333730697632,2.2730302810668945,0.0,0.0,0
SITE29,17,0,17,0,0,0.1764705926179886,0.6470588445663452,-0.27658581733703613,2.2941176891326904,3.077432155609131,0.0,0.0,0
SITE30,13,0,13,0,0,0.3076923191547394,0.692307710647583,-0.19404923915863037,2.153846263885498,3.3050076961517334,0.0,0.0,0
SITE301,5,0,5,0,0,0.6000000238418579,0.800000011920929,nan,1.0,1.8439089059829712,0.0,0.0,0
SITE304,5,0,5,0,0,0.6000000238418579,0.800000011920929,0.609375,1.2000000476837158,2.0,0.0,0.0,0
SITE309,13,0,13,0,0,0.38461539149284363,0.5384615659713745,0.1555117964744568,2.076923131942749,2.759598731994629,0.0,0.0,0
SITE310,7,0,7,0,0,0.2857142984867096,0.7142857313156128,-0.272727370262146,2.0,3.116774797439575,0.0,0.0,0
SITE322,9,0,9,0,0,0.5555555820465088,0.7777777910232544,0.1795581579208374,1.2222222089767456,1.9148542881011963,0.0,0.0,0
SITE323,9,0,9,0,0,0.6666666865348816,0.8888888955116272,0.7509881407022476,0.6666666865348816,1.2472190856933594,0.0,0.0,0
SITE324,17,0,17,0,0,0.1764705926179886,0.8235294222831726,0.21394985914230347,1.8823529481887817,2.634611129760742,0.0,0.0,0
SITE325,8,0,8,0,0,0.375,0.75,0.77173912525177,1.125,1.620185136795044,0.0,0.0,0
SITE327,16,0,16,0,0,0.0625,0.625,-0.14839279651641846,2.4375,3.191786289215088,0.0,0.0,0
SITE33,22,0,22,0,0,0.3636363744735718,0.6818181872367859,-0.7701150178909302,2.1818182468414307,3.3844563961029053,0.0,0.0,0
SITE330,14,0,14,0,0,0.5,0.7857142686843872,0.3501628041267395,1.2142857313156128,2.017778158187866,0.0,0.0,0
SITE331,7,0,7,0,0,0.5714285969734192,0.7142857313156128,0.337837815284729,1.2857142686843872,2.2360680103302,0.0,0.0,0
SITE332,9,0,9,0,0,0.4444444477558136,0.6666666865348816,-2.9065935611724854,1.8888888359069824,2.96273136138916,0.0,0.0,0
SITE333,5,0,5,0,0,0.800000011920929,0.800000011920929,-0.3333333730697632,0.800000011920929,1.7888543605804443,0.0,0.0,0
SITE334,12,0,12,0,0,0.25,0.5,-0.14285719394683838,2.1666667461395264,2.798809289932251,0.0,0.0,0
SITE336,5,0,5,0,0,0.4000000059604645,0.800000011920929,-2.4375,2.0,2.966479539871216,0.0,0.0,0
SITE338,5,0,5,0,0,0.4000000059604645,0.6000000238418579,-5.125,2.200000047683716,3.130495309829712,0.0,0.0,0
SITE339,8,0,8,0,0,0.125,0.5,-0.6044567823410034,2.5,3.0,0.0,0.0,0
SITE340,12,0,12,0,0,0.4166666567325592,0.6666666865348816,0.24546551704406738,1.5,2.0816659927368164,0.0,0.0,0
SITE343,12,0,12,0,0,0.3333333432674408,0.5,-0.20133483409881592,2.0,2.7386128902435303,0.0,0.0,0
SITE345,7,0,7,0,0,0.2857142984867096,0.5714285969734192,-0.8529412746429443,2.2857143878936768,3.207134962081909,0.0,0.0,0
SITE35,7,0,7,0,0,0.8571428656578064,1.0,0.9901685398072004,0.1428571492433548,0.37796446681022644,0.0,0.0,0
SITE353,8,0,8,0,0,0.375,0.75,0.4725274443626404,1.25,1.7320507764816284,0.0,0.0,0
SITE355,9,0,9,0,0,0.4444444477558136,0.7777777910232544,0.19168907403945923,1.6666666269302368,2.7284510135650635,0.0,0.0,0
SITE358,14,0,14,0,0,0.2857142984867096,0.6428571343421936,0.04655158519744873,1.7857142686843872,2.375469923019409,0.0,0.0,0
SITE36,10,0,10,0,0,0.10000000149011612,0.6000000238418579,-0.3665595054626465,3.200000047683716,4.123105525970459,0.0,0.0,0
SITE360,8,0,8,0,0,0.625,0.875,0.6656716465950012,0.75,1.3228756189346313,0.0,0.0,0
SITE361,7,0,7,0,0,0.4285714328289032,0.7142857313156128,-0.2589927911758423,1.7142857313156128,2.672612428665161,0.0,0.0,0
SITE362,11,0,11,0,0,0.3636363744735718,0.6363636255264282,0.12657231092453003,2.090909004211426,3.0301513671875,0.0,0.0,0
SITE363,11,0,11,0,0,0.6363636255264282,0.7272727489471436,-0.546875,1.454545497894287,2.8603878021240234,0.0,0.0,0
SITE366,12,0,12,0,0,0.4166666567325592,0.5833333134651184,-0.47308778762817383,2.1666667461395264,3.291402816772461,0.0,0.0,0
SITE367,8,0,8,0,0,0.75,1.0,0.868583157658577,0.5,1.0,0.0,0.0,0
SITE375,6,0,6,0,0,0.6666666865348816,0.6666666865348816,0.4880545735359192,1.1666666269302368,2.041241407394409,0.0,0.0,0
