--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.2857     0.5714     -1.4062    2.1429    2.8031    
SITE5        11     0.2727     0.5455     -0.8716    2.3636    3.2193    
SITE6        13     0.2308     0.5385     -0.8524    3.4615    4.6492    
SITE7        31     0.3548     0.7419     0.0117     1.6129    2.4495    
SITE8        14     0.2143     0.6429     -0.7236    2.0000    2.6458    
SITE10       16     0.1875     0.3750     -1.8471    3.5625    4.4230    
SITE11       6      0.3333     0.6667     -0.3846    2.3333    3.1623    
SITE12       16     0.3750     0.6875     -0.2735    1.8750    2.8062    
SITE13       29     0.3103     0.8276     0.0153     1.4828    1.9740    
SITE14       10     0.2000     0.6000     -0.6401    2.5000    3.3615    
SITE15       19     0.1579     0.4737     -1.3731    3.2632    4.0131    
SITE17       21     0.2857     0.6667     0.0603     1.9048    2.6186    
SITE18       20     0.5500     0.8500     0.6247     0.9500    1.5652    
SITE19       44     0.3182     0.8409     0.2225     1.2955    1.8647    
SITE20       10     0.4000     0.7000     -0.9072    2.4000    3.8471    
SITE21       14     0.2143     0.6429     -0.6002    2.5000    3.6154    
SITE22       60     0.3833     0.9000     0.1841     1.0000    1.4720    
SITE24       11     0.1818     0.6364     -0.1957    2.1818    2.6968    
SITE25       24     0.2083     0.7083     -0.0587    1.7917    2.3004    
SITE26       16     0.2500     0.6250     -0.5921    2.6250    3.7249    
SITE29       17     0.2353     0.5882     -0.5779    2.6471    3.4214    
SITE30       13     0.0000     0.5385     -0.2361    2.8462    3.3627    
SITE33       22     0.4091     0.6818     0.1430     1.5455    2.3549    
SITE35       7      0.4286     0.5714     -0.8778    3.5714    5.2236    
SITE36       10     0.4000     0.6000     -0.6559    3.0000    4.5387    
SITE40       24     0.2917     0.6667     -0.3306    1.7917    2.3541    
SITE41       31     0.1935     0.6452     -0.0072    1.8710    2.2860    
SITE42       12     0.4167     0.5000     -0.6522    2.8333    3.9791    
SITE43       19     0.3158     0.4737     -1.0845    2.6842    3.5169    
SITE45       23     0.3478     0.6957     0.2522     1.7391    2.4672    
SITE48       16     0.3750     0.6875     -0.1915    1.8750    2.8062    
SITE49       10     0.2000     0.7000     -0.0811    1.8000    2.1909    
SITE50       8      0.6250     0.7500     0.4222     1.3750    2.3717    
SITE53       15     0.2000     0.6667     -0.0356    1.9333    2.5166    
SITE58       21     0.2857     0.4286     -1.1815    2.9048    3.8110    
SITE59       12     0.2500     0.5833     -0.1850    2.0833    2.9297    
SITE65       13     0.2308     0.4615     -0.7864    3.0769    3.9419    
SITE66       11     0.0909     0.0909     -5.5360    6.2727    6.8158    
SITE73       18     0.2222     0.7222     0.1177     2.1111    3.0000    
