site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE4,28,15,1,12,4,19,0.25,0.9166666865348816,0.0,1.3333333730697632,1.632993221282959,3.617661237716675,2.038947343826294,2.383268356323242,4
SITE5,40,19,5,16,3,18,0.125,0.3125,-2.705627679824829,3.125,3.657184600830078,2.5538331270217896,2.699596881866455,2.2535130977630615,3
SITE6,47,29,9,9,2,17,0.4444444477558136,0.4444444477558136,-1.182447910308838,3.555555582046509,4.830459117889404,3.558821439743042,1.77715003490448,1.855936050415039,2
SITE7,129,75,17,37,14,29,0.21621622145175934,0.5945945978164673,-0.028463363647460938,2.054054021835327,2.5993762016296387,1.966310238838196,1.5671155452728271,2.2675312757492065,14
SITE8,57,36,6,15,2,17,0.06666667014360428,0.8666666746139526,-0.1088709831237793,1.5333333015441895,1.9148542881011963,2.7591376304626465,2.3055927753448486,2.149582862854004,2
SITE10,58,33,7,18,2,17,0.2222222238779068,0.3888888955116272,-1.7159533500671387,3.5,4.4032816886901855,2.9504919052124023,2.234476327896118,2.1404664516448975,2
SITE11,27,15,5,7,4,19,0.2857142984867096,0.8571428656578064,-0.07692313194274902,1.7142857313156128,2.138089895248413,3.200348377227783,2.0672290325164795,2.100125789642334,4
SITE12,60,35,8,17,2,17,0.0,0.4117647111415863,-1.7476370334625244,2.882352828979492,3.171564817428589,3.437901020050049,2.352982521057129,2.211659789085388,2
SITE13,133,81,16,36,1,16,0.2222222238779068,0.7222222089767456,-0.31485307216644287,1.8611111640930176,2.3273732662200928,3.802533666292826,2.453141212463379,2.116489887237549,1
SITE14,34,24,4,6,2,17,0.0,0.0,-8.333333015441895,5.0,5.291502475738525,2.804369568824768,2.0460288524627686,2.0894665718078613,2
SITE15,74,46,10,18,1,16,0.1666666716337204,0.6666666865348816,-0.00045931339263916016,2.1666667461395264,2.5927248001098633,5.96886134147644,2.1240456104278564,2.2864720821380615,1
SITE17,77,44,6,27,5,20,0.2222222238779068,0.3333333432674408,-1.953124761581421,3.7037036418914795,4.554200172424316,2.1504389444986978,2.389340400695801,2.2300164699554443,5
SITE18,82,49,9,24,1,16,0.375,0.6666666865348816,-0.5427062511444092,2.0416667461395264,3.020761489868164,6.275509864091873,0.4911571741104126,2.5371642112731934,1
SITE19,198,124,27,47,3,18,0.21276596188545227,0.6808510422706604,-0.02957284450531006,1.7446808815002441,2.259730815887451,2.0024281293153763,1.8725239038467407,2.254227121671041,3
SITE20,33,16,5,12,5,20,0.25,0.5,-0.016528725624084473,2.1666667461395264,2.6140644550323486,2.2001752853393555,2.7355122566223145,2.3247742652893066,5
SITE21,61,40,8,13,4,19,0.23076923191547394,0.6153846383094788,-0.6139154434204102,2.615384578704834,3.7416574954986572,1.9883637428283691,2.84983491897583,2.1868560314178467,4
SITE22,281,172,46,63,14,29,0.3333333432674408,0.8730158805847168,-0.0399852991104126,1.20634925365448,1.6903085708618164,1.629404447295449,1.4110922813415527,1.9567462801933289,14
SITE24,37,21,6,10,2,17,0.30000001192092896,0.699999988079071,-1.3333332538604736,2.0,2.6457512378692627,3.2381086349487305,2.0941169261932373,2.215925693511963,2
SITE25,100,59,16,25,9,24,0.2800000011920929,0.7200000286102295,-0.039215683937072754,1.5199999809265137,2.0591259002685547,2.0730789601802826,1.7948453426361084,2.04540878534317,9
SITE26,57,37,4,16,2,17,0.0,0.6875,-0.11594200134277344,2.5,3.1024184226989746,2.7202909787495932,2.4073474407196045,2.2420148849487305,2
SITE29,59,32,9,18,5,20,0.2222222238779068,0.6111111044883728,-0.0005615949630737305,1.8333333730697632,2.345207929611206,2.1356457471847534,2.1475894451141357,2.054575800895691,5
SITE30,45,22,6,17,23,38,0.1764705926179886,0.6470588445663452,-0.196358323097229,2.058823585510254,2.9003043174743652,1.7677580118179321,2.067258596420288,2.1666279435157776,23
SITE33,76,41,9,26,37,52,0.19230769574642181,0.6153846383094788,-0.5546537637710571,2.192307710647583,2.915475845336914,1.1515499552090962,1.4411803483963013,2.8462436199188232,37
SITE35,25,15,2,8,3,18,0.125,0.125,-6.260115623474121,7.125,7.673004627227783,7.04557991027832,0.19752950966358185,3.400984525680542,3
SITE36,29,17,3,9,11,26,0.0,0.5555555820465088,-0.5620501041412354,3.6666667461395264,4.630814552307129,1.6591838002204895,3.0288138389587402,2.108189105987549,11
SITE40,95,57,13,25,1,16,0.11999999731779099,0.6000000238418579,-1.0104894638061523,2.440000057220459,2.8774988651275635,4.979183554649353,2.082144260406494,2.4515258073806763,1
SITE41,132,72,25,35,1,16,0.1428571492433548,0.4285714328289032,-2.006633758544922,3.142857074737549,3.847076892852783,5.264837312698364,2.1027523279190063,2.511000315348307,1
SITE42,36,22,4,10,18,33,0.0,0.0,-15.124404907226562,5.699999809265137,5.805170059204102,1.0744712352752686,0.6322684288024902,4.606292724609375,18
SITE43,73,43,9,21,4,19,0.0476190485060215,0.3333333432674408,-2.919083595275879,3.761904716491699,4.358899116516113,2.0774248441060386,2.3013269901275635,2.1574758291244507,4
SITE45,86,46,10,30,4,19,0.06666667014360428,0.2666666805744171,-3.5656118392944336,4.433333396911621,5.01663875579834,2.103335460027059,2.4472436904907227,2.355354070663452,4
SITE48,56,30,8,18,3,18,0.1111111119389534,0.8888888955116272,-0.05760371685028076,1.8888888359069824,2.3804759979248047,2.3742644786834717,2.2257351875305176,1.9845860600471497,3
SITE49,33,21,5,7,1,16,0.1428571492433548,0.7142857313156128,-0.31683170795440674,2.0,2.3299293518066406,11.50872015953064,2.380653142929077,2.578800916671753,1
SITE50,32,17,2,13,1,16,0.1538461595773697,0.1538461595773697,-2.850877285003662,5.0,5.811130046844482,10.153089046478271,0.6210471391677856,3.9175429344177246,1
SITE53,53,30,6,17,2,17,0.1764705926179886,0.7058823704719543,-0.09056615829467773,2.0,2.4494898319244385,2.6361122131347656,2.6455631256103516,2.090938448905945,2
SITE58,79,44,11,24,3,18,0.0833333358168602,0.4166666567325592,-1.3529412746429443,3.2083332538604736,3.7914376258850098,2.402105927467346,2.578294038772583,2.148415207862854,3
SITE59,43,21,7,15,5,20,0.20000000298023224,0.5333333611488342,-1.319202184677124,3.066666603088379,4.066120147705078,2.0708324909210205,2.336418867111206,1.9758632183074951,5
SITE65,41,26,7,8,2,17,0.375,0.375,-1.5806450843811035,3.5,4.4721360206604,2.7066972255706787,2.9220023155212402,2.3439650535583496,2
SITE66,36,20,7,9,47,60,0.0,0.2222222238779068,-3.1538453102111816,4.222222328186035,4.618802070617676,1.6791406869888306,1.6146351099014282,2.5227138996124268,47
SITE73,71,43,10,18,28,43,0.1666666716337204,0.6666666865348816,0.2553192377090454,2.222222328186035,2.7888667583465576,1.6432443857192993,1.8566111326217651,1.547373652458191,28
SITE75,48,25,8,15,3,18,0.13333334028720856,0.7333333492279053,-0.2833595275878906,2.066666603088379,2.6956756114959717,2.3442920446395874,2.4972057342529297,2.156047821044922,3
SITE76,26,14,3,9,4,19,0.1111111119389534,0.6666666865348816,-0.4622640609741211,3.0,4.149966239929199,3.239645481109619,2.705289602279663,2.5735676288604736,4
SITE78,36,25,4,7,3,18,0.5714285969734192,0.7142857313156128,-0.33185839653015137,2.4285714626312256,4.292851448059082,2.3564107418060303,2.3860230445861816,1.923570156097412,3
SITE80,26,17,2,7,3,18,0.2857142984867096,0.2857142984867096,-2.1486990451812744,4.857142925262451,5.87974739074707,3.9381484985351562,2.4837093353271484,1.8830453157424927,3
SITE81,36,21,3,12,3,18,0.5,0.75,-0.1784583330154419,1.75,2.7838821411132812,2.4842699766159058,2.0504045486450195,1.6817600727081299,3
SITE84,61,36,5,20,41,56,0.20000000298023224,0.699999988079071,-0.19860625267028809,1.7000000476837158,2.0736441612243652,1.4199117422103882,1.2625000476837158,3.5616894364356995,41
SITE86,34,25,2,7,1,16,0.5714285969734192,0.8571428656578064,-0.06400012969970703,1.1428571939468384,2.3299293518066406,4.927081346511841,1.7060091495513916,1.3280761241912842,1
SITE94,81,48,8,25,2,17,0.36000001430511475,0.5600000023841858,-0.923076868057251,2.4000000953674316,3.464101552963257,2.3560782273610434,1.9704293012619019,2.0114880800247192,2
SITE95,23,16,3,4,18,33,0.75,0.75,-1.7777776718139648,1.25,2.5,1.3218574523925781,0.5989857912063599,0.7483015656471252,18
SITE96,21,12,1,8,4,19,0.25,0.25,-2.4000000953674316,3.0,3.570714235305786,5.05001163482666,0.7047964930534363,1.322967767715454,4
SITE97,25,18,2,5,3,18,0.4000000059604645,0.4000000059604645,-1.5,5.400000095367432,6.971369743347168,1.523368000984192,0.2868785262107849,1.2135382890701294,3
SITE98,78,51,10,17,1,16,0.11764705926179886,0.47058823704719543,-0.0004945993423461914,2.2941176891326904,2.6457512378692627,4.70955353975296,2.801562547683716,2.762879729270935,1
SITE104,48,29,6,13,9,24,0.23076923191547394,0.692307710647583,-0.21874988079071045,1.8461538553237915,2.5419557094573975,2.007559835910797,1.6785831451416016,1.9369813203811646,9
SITE106,52,28,7,17,4,19,0.05882352963089943,0.47058823704719543,-1.7622337341308594,3.3529412746429443,3.9032416343688965,2.1564782857894897,2.010441303253174,2.497273802757263,4
SITE111,55,31,8,16,2,17,0.125,0.5,-0.5,2.25,2.598076105117798,3.180680513381958,1.948070764541626,2.1878175735473633,2
SITE115,67,32,10,25,2,17,0.1599999964237213,0.7599999904632568,-0.23546504974365234,1.7999999523162842,2.473863363265991,3.7814271450042725,2.5295097827911377,2.3837488889694214,2
SITE116,55,35,7,13,4,19,0.23076923191547394,0.8461538553237915,-0.6929659843444824,2.076923131942749,3.2462997436523438,2.0688819885253906,3.2893950939178467,1.9418737888336182,4
SITE117,105,60,16,29,9,24,0.2068965584039688,0.6206896305084229,-1.1940786838531494,2.344827651977539,3.0850026607513428,1.9201794266700745,2.0501437187194824,1.9676358699798584,9
SITE119,41,24,7,10,4,19,0.10000000149011612,0.4000000059604645,-2.770491600036621,3.9000000953674316,4.549725532531738,1.950430691242218,3.569782257080078,1.889382243156433,4
SITE125,27,19,5,3,6,21,0.6666666865348816,0.6666666865348816,-0.5,2.3333332538604736,4.041451930999756,2.2254796028137207,3.002065420150757,1.9233691692352295,6
SITE127,60,31,10,19,2,17,0.15789473056793213,0.7894737124443054,-0.22260868549346924,1.5789474248886108,1.9735087156295776,3.4780995845794678,1.9710804224014282,2.2936447858810425,2
