--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.2857     0.5714     -1.4062    2.1429    2.8031    
SITE5        11     0.1818     0.4545     -1.4627    2.9091    3.6927    
SITE6        13     0.3846     0.5385     -0.4305    2.8462    4.0856    
SITE7        31     0.2581     0.6452     -0.0043    1.9032    2.4692    
SITE8        14     0.2143     0.6429     -0.7236    2.0000    2.6458    
SITE10       16     0.1875     0.3750     -1.8471    3.5625    4.4230    
SITE11       6      0.3333     0.6667     -0.3846    2.3333    3.1623    
SITE12       16     0.5000     0.7500     0.3026     1.3125    2.0767    
SITE13       29     0.3103     0.8276     0.0153     1.4828    1.9740    
SITE14       10     0.2000     0.8000     0.4630     1.5000    1.9235    
SITE15       19     0.1579     0.4737     -1.3731    3.2632    4.0131    
SITE17       21     0.1905     0.5714     0.0277     2.1429    2.6637    
SITE18       20     0.4500     0.7500     0.4408     1.2500    1.9105    
SITE19       44     0.3182     0.7955     0.0650     1.3636    2.0449    
SITE20       10     0.2000     0.5000     -2.0026    3.7000    4.8270    
SITE21       14     0.3571     0.7857     0.0119     1.7857    2.8410    
SITE22       60     0.4167     0.8833     0.1402     0.9833    1.5111    
SITE24       11     0.1818     0.6364     -0.1957    2.1818    2.6968    
SITE25       24     0.2083     0.7083     -0.0587    1.7917    2.3004    
SITE26       16     0.3125     0.6250     -0.3913    2.3750    3.4821    
SITE29       17     0.2941     0.5882     -0.5462    2.5294    3.3868    
SITE30       13     0.1538     0.6923     0.2012     2.0769    2.7033    
SITE33       22     0.4091     0.6818     -0.1520    1.7273    2.7303    
SITE35       7      0.4286     0.5714     -0.8778    3.5714    5.2236    
SITE36       10     0.4000     0.6000     -0.6559    3.0000    4.5387    
SITE40       24     0.2500     0.6667     -0.7707    2.0417    2.7157    
SITE41       31     0.1935     0.6452     -0.0072    1.8710    2.2860    
SITE42       12     0.4167     0.5000     -0.6522    2.8333    3.9791    
SITE43       19     0.3158     0.4737     -1.2087    2.6842    3.6201    
SITE45       23     0.3043     0.6957     0.4605     1.6087    2.0955    
SITE48       16     0.4375     0.6875     -0.0875    1.6875    2.6810    
SITE49       10     0.2000     0.7000     -0.0811    1.8000    2.1909    
SITE50       8      0.7500     1.0000     0.9358     0.3750    0.7906    
SITE53       15     0.2000     0.6667     -0.0356    1.9333    2.5166    
SITE58       21     0.1905     0.5714     -0.6594    2.4762    3.3238    
SITE59       12     0.0000     0.6667     -0.5647    2.5000    3.3665    
SITE65       13     0.2308     0.4615     -0.7864    3.0769    3.9419    
SITE66       11     0.1818     0.8182     -0.0744    2.0000    2.7634    
SITE73       18     0.2222     0.6667     -0.2908    2.6111    3.6286    
