site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,22,37,0.2857142984867096,0.5714285969734192,-1.40625,2.142857074737549,2.8030595779418945,1.8135507702827454,1.9072974920272827,22
SITE5,40,29,11,14,29,0.1818181872367859,0.4545454680919647,-1.462686538696289,2.909090995788574,3.692744731903076,1.8454373478889465,1.9034712314605713,14
SITE6,47,34,13,56,60,0.38461539149284363,0.5384615659713745,-0.4305274486541748,2.846153736114502,4.085622310638428,1.720770239830017,1.9097809791564941,56
SITE7,129,98,31,25,40,0.25806450843811035,0.6451612710952759,-0.004285216331481934,1.9032257795333862,2.4691646099090576,2.104314752987453,2.1043450832366943,25
SITE8,57,43,14,13,28,0.2142857164144516,0.6428571343421936,-0.7236181497573853,2.0,2.6457512378692627,2.107752561569214,2.0181705951690674,13
SITE10,58,42,16,15,30,0.1875,0.375,-1.8470721244812012,3.5625,4.422951698303223,2.05696694056193,2.127500057220459,15
SITE11,27,21,6,8,23,0.3333333432674408,0.6666666865348816,-0.384615421295166,2.3333332538604736,3.1622776985168457,1.7740349173545837,1.6693825721740723,8
SITE12,60,44,16,28,43,0.5,0.75,0.302590012550354,1.3125,2.076655864715576,1.5088662306467693,1.6718438863754272,28
SITE13,133,104,29,42,57,0.3103448152542114,0.8275862336158752,0.015324532985687256,1.482758641242981,1.973968505859375,1.7316962480545044,1.8563258647918701,42
SITE14,34,24,10,26,41,0.20000000298023224,0.800000011920929,0.46298980712890625,1.5,1.9235384464263916,1.5692092776298523,1.9712406396865845,26
SITE15,74,55,19,11,26,0.15789473056793213,0.4736842215061188,-1.373061180114746,3.263157844543457,4.013136386871338,2.0886445939540863,1.9702901244163513,11
SITE17,77,56,21,43,58,0.190476194024086,0.5714285969734192,0.027656972408294678,2.142857074737549,2.663688898086548,1.8144292831420898,2.0301992893218994,43
SITE18,82,62,20,25,40,0.44999998807907104,0.75,0.44082731008529663,1.25,1.9104973077774048,1.2712160050868988,1.375040054321289,25
SITE19,198,154,44,57,60,0.3181818127632141,0.7954545617103577,0.06501907110214233,1.3636363744735718,2.0449492931365967,1.7558594584465026,1.8470513820648193,57
SITE20,33,23,10,29,44,0.20000000298023224,0.5,-2.002577304840088,3.700000047683716,4.827007293701172,1.6267130970954895,1.7718582153320312,29
SITE21,61,47,14,35,50,0.3571428656578064,0.7857142686843872,0.01186758279800415,1.7857142686843872,2.8410258293151855,1.7065283060073853,1.8484121561050415,35
SITE22,281,221,60,43,58,0.4166666567325592,0.8833333253860474,0.14016741514205933,0.9833333492279053,1.5110702514648438,1.3741339359964644,1.4462445974349976,43
SITE24,37,26,11,10,25,0.1818181872367859,0.6363636255264282,-0.19565224647521973,2.1818182468414307,2.6967995166778564,1.6827918887138367,1.919100046157837,10
SITE25,100,76,24,4,19,0.2083333283662796,0.7083333134651184,-0.05870091915130615,1.7916666269302368,2.3003623485565186,2.1116356372833254,2.131338953971863,4
SITE26,57,41,16,21,36,0.3125,0.625,-0.3913043737411499,2.375,3.4820971488952637,1.6661492188771565,1.7546590566635132,21
SITE29,59,42,17,18,33,0.29411765933036804,0.5882353186607361,-0.5461753606796265,2.529411792755127,3.3868257999420166,1.9000188112258911,2.0108193159103394,18
