--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.1429     0.7143     -0.9250    2.0000    2.5071    
SITE5        11     0.1818     0.5455     -0.7896    2.4545    3.1479    
SITE6        13     0.2308     0.7692     0.0177     2.2308    3.3855    
SITE7        31     0.2581     0.6452     -0.0043    1.9032    2.4692    
SITE8        14     0.1429     0.5714     -0.5302    2.0714    2.4928    
SITE10       16     0.2500     0.5625     -0.5645    2.5000    3.2787    
SITE11       6      0.3333     0.5000     -0.6615    2.6667    3.4641    
SITE12       16     0.2500     0.6250     -0.0411    1.9375    2.5372    
SITE13       29     0.3103     0.8276     -0.0195    1.4828    2.0086    
SITE14       10     0.2000     0.4000     -0.5530    2.7000    3.2711    
SITE15       19     0.1579     0.5789     -0.6286    2.6316    3.3245    
SITE17       21     0.2381     0.5238     -0.5205    2.5238    3.3310    
SITE18       20     0.3500     0.6500     -0.2486    1.9500    2.8548    
SITE19       44     0.2500     0.7273     -0.0417    1.6136    2.1585    
SITE20       10     0.1000     0.3000     -0.5335    2.9000    3.4496    
SITE21       14     0.3571     0.7857     0.5191     1.3571    1.9821    
SITE22       60     0.3500     0.8833     -0.0418    1.1333    1.6633    
SITE24       11     0.2727     0.6364     0.2677     1.7273    2.1106    
SITE25       24     0.2500     0.6667     -0.0087    1.7083    2.2454    
SITE26       16     0.2500     0.6875     -0.0973    2.1875    3.0923    
SITE29       17     0.1765     0.5294     -0.6810    2.7059    3.5314    
SITE30       13     0.2308     0.6154     0.1423     2.1538    2.8011    
SITE33       22     0.2273     0.5455     -0.4330    2.2727    3.0451    
SITE35       7      0.4286     0.5714     -0.1699    2.7143    4.1231    
SITE36       10     0.3000     0.6000     -0.7524    3.2000    4.6690    
SITE40       24     0.2500     0.7083     -0.6907    1.9583    2.6536    
SITE41       31     0.1935     0.6452     -0.0072    1.8710    2.2860    
SITE42       12     0.3333     0.4167     -1.2783    3.5000    4.6726    
SITE43       19     0.1053     0.3684     -1.0047    2.8421    3.4489    
SITE45       23     0.2609     0.5217     -0.6772    2.7826    3.6949    
SITE48       16     0.2500     0.6250     -0.2577    2.1875    2.8831    
SITE49       10     0.2000     0.7000     -0.0811    1.8000    2.1909    
SITE50       8      0.7500     1.0000     0.9358     0.3750    0.7906    
SITE53       15     0.3333     0.6667     0.0516     1.6667    2.4083    
SITE58       21     0.1905     0.6667     -0.3018    2.1905    2.9439    
SITE59       12     0.2500     0.6667     -0.7603    2.4167    3.5707    
SITE65       13     0.1538     0.4615     -1.7327    3.9231    4.8754    
SITE66       11     0.1818     0.4545     -2.5047    3.8182    4.9909    
SITE73       18     0.2222     0.6111     0.2539     2.0556    2.7588    
SITE75       13     0.1538     0.6154     -0.8879    2.6154    3.4862    
SITE76       7      0.4286     0.5714     -1.0863    3.5714    5.1130    
SITE78       11     0.3636     0.5455     -0.3705    2.5455    3.7173    
SITE80       6      0.5000     0.5000     -0.7918    2.8333    4.2622    
SITE81       10     0.2000     0.6000     -0.0381    2.3000    2.8107    
SITE84       16     0.3125     0.6250     -0.7627    1.8750    2.5495    
SITE86       10     0.3000     0.8000     0.1228     1.6000    2.4495    
SITE94       21     0.3810     0.5714     -0.8821    2.3810    3.4778    
SITE95       6      0.3333     0.6667     0.7327     1.3333    1.8257    
SITE96       6      0.5000     0.8333     0.3333     1.5000    2.3452    
SITE97       7      0.7143     0.8571     0.3300     1.5714    3.4847    
SITE98       20     0.1500     0.5000     -1.0464    2.9000    3.7550    
SITE104      12     0.2500     0.6667     -0.5118    1.8333    2.5820    
SITE106      14     0.1429     0.7143     0.0521     2.1429    2.7255    
SITE111      15     0.2667     0.5333     0.3697     1.8667    2.3094    
SITE115      17     0.1765     0.5294     -0.6766    2.5882    3.3077    
SITE116      14     0.2143     0.6429     -0.2261    2.2143    3.0355    
SITE117      24     0.2917     0.7917     0.0568     1.4583    2.0310    
SITE119      12     0.1667     0.4167     -0.3093    2.5833    3.2532    
SITE125      8      0.1250     0.7500     0.0718     2.1250    2.8062    
SITE127      16     0.1250     0.3750     -1.9250    3.2500    3.8243    
SITE128      18     0.1667     0.5000     -0.8686    2.6667    3.5434    
SITE129      15     0.2000     0.4000     -0.9525    3.1333    3.9412    
SITE132      8      0.2500     0.7500     -0.5764    2.3750    3.6572    
SITE134      9      0.3333     0.4444     -1.1051    2.8889    3.9158    
SITE156      17     0.4118     0.8824     0.6372     1.0588    1.5718    
SITE160      10     0.2000     0.6000     -0.1176    2.1000    2.7749    
SITE161      14     0.3571     0.6429     0.2234     1.6429    2.2520    
SITE165      7      0.1429     0.2857     -0.6649    3.1429    3.5456    
SITE167      11     0.2727     0.8182     0.3693     1.5455    1.9771    
SITE168      10     0.3000     0.8000     0.1675     1.8000    2.8284    
SITE169      14     0.1429     0.5000     -0.0466    2.2143    2.5774    
SITE171      14     0.2143     0.5000     -1.0351    2.7143    3.6056    
SITE178      12     0.0833     0.5833     -0.3883    2.2500    2.6926    
SITE179      27     0.1111     0.6296     -0.8031    2.4815    3.1914    
SITE186      19     0.2632     0.4737     -0.1441    2.4737    3.1706    
SITE193      15     0.4000     0.6000     -0.1868    2.2667    3.3862    
SITE194      18     0.2222     0.5556     -0.8052    2.2222    2.7689    
SITE198      14     0.3571     0.6429     -0.9221    2.1429    3.0938    
SITE203      33     0.2727     0.5758     -0.8018    2.6364    3.5887    
SITE205      24     0.1250     0.5000     -1.7530    3.3333    4.1733    
SITE207      12     0.2500     0.8333     -0.4054    1.5833    2.3274    
SITE208      13     0.2308     0.5385     -0.3568    2.6154    3.3741    
SITE209      8      0.2500     0.7500     -0.2477    1.8750    2.5249    
SITE212      9      0.2222     0.3333     -1.9099    3.6667    4.5092    
SITE215      33     0.3636     0.5758     -0.8755    2.6364    3.7699    
SITE217      16     0.3125     0.6250     -0.7315    2.3125    3.4187    
SITE219      15     0.3333     0.4000     -1.1939    3.2000    4.1473    
SITE229      14     0.0714     0.4286     -0.4974    3.0000    3.4434    
SITE230      11     0.3636     0.5455     -0.4382    2.6364    3.8730    
SITE231      7      0.2857     0.7143     0.4640     1.7143    2.2039    
SITE234      11     0.2727     0.7273     -0.0239    1.3636    1.7838    
SITE239      15     0.1333     0.4667     0.0000     2.4000    2.8284    
SITE240      14     0.2857     0.6429     -0.0428    2.0714    2.8410    
SITE241      25     0.3200     0.6000     -0.4379    2.2800    3.3287    
SITE244      12     0.2500     0.5833     -0.2581    2.5000    3.3166    
SITE245      15     0.2667     0.6000     -0.5046    2.6000    3.6056    
SITE251      11     0.1818     0.5455     0.1617     2.0000    2.4495    
SITE253      30     0.2000     0.5667     -0.9583    2.6333    3.4785    
SITE256      5      0.2000     0.6000     -1.4569    2.6000    3.3764    
SITE258      12     0.3333     0.6667     -0.1667    1.8333    2.6458    
SITE259      9      0.3333     0.3333     -0.9031    3.5556    4.6188    
SITE261      15     0.3333     0.6000     -0.3441    2.3333    3.3566    
SITE262      20     0.2500     0.7500     -0.1475    1.8000    2.5100    
SITE268      13     0.2308     0.7692     0.3845     1.6923    2.2532    
SITE272      13     0.1538     0.6154     -0.6431    2.7692    3.7417    
SITE276      12     0.3333     0.8333     0.3010     1.1667    1.5811    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.6000     -0.6602    2.6000    4.1231    
SITE309      13     0.3077     0.3846     -0.9961    3.2308    4.2426    
SITE310      7      0.0000     0.4286     -1.0401    3.5714    3.9461    
SITE322      9      0.5556     0.6667     -0.5414    1.5556    2.6247    
SITE323      9      0.6667     0.8889     0.7510     0.6667    1.2472    
SITE324      17     0.2353     0.6471     -0.1791    2.4118    3.2267    
SITE325      8      0.2500     0.5000     -0.7500    3.3750    4.4861    
SITE327      16     0.3125     0.5625     -0.0004    2.1250    2.9791    
SITE330      14     0.3571     0.6429     -0.4479    2.0714    3.0119    
SITE331      7      0.4286     0.5714     -0.1730    2.0000    2.9761    
SITE332      9      0.5556     0.7778     -0.4835    1.1111    1.8257    
SITE333      5      0.6000     0.6000     -1.0833    1.4000    2.2361    
SITE334      12     0.3333     0.5000     -0.5684    2.4167    3.2787    
SITE336      5      0.6000     0.8000     -0.5625    1.2000    2.0000    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.2500     0.5000     -1.5627    2.8750    3.7914    
SITE340      12     0.3333     0.6667     0.2310     1.5833    2.1016    
SITE343      12     0.2500     0.4167     -0.0011    2.0833    2.5000    
SITE345      7      0.4286     0.5714     -0.8272    2.1429    3.1848    
SITE353      8      0.6250     0.6250     -0.5385    1.7500    2.9580    
SITE355      9      0.5556     0.6667     -0.6769    2.3333    3.9299    
SITE358      14     0.3571     0.5714     -0.8828    2.2857    3.3381    
SITE360      8      0.5000     0.7500     -0.5045    1.6250    2.8062    
SITE361      7      0.4286     0.4286     -1.1655    2.5714    3.5051    
SITE362      11     0.5455     0.9091     0.6973     1.0000    1.7838    
SITE363      11     0.5455     0.6364     -0.5641    1.7273    2.8762    
SITE366      12     0.2500     0.5000     -0.9377    2.9167    3.7749    
SITE367      8      0.6250     0.6250     -0.4620    1.8750    3.3354    
SITE375      6      0.6667     0.6667     0.0785     1.5000    2.7386    
SITE376      9      0.3333     0.4444     -0.7037    2.4444    3.1972    
SITE377      12     0.3333     0.5000     -1.6801    2.9167    4.0723    
SITE380      8      0.5000     0.6250     0.0298     1.8750    2.7613    
SITE383      4      0.0000     0.0000     -4.9444    4.7500    5.1720    
SITE385      9      0.2222     0.4444     -0.3214    2.4444    2.8674    
SITE386      11     0.6364     0.8182     0.4016     1.0909    1.9540    
SITE388      7      0.2857     0.5714     -1.3786    2.2857    3.1623    
SITE389      11     0.6364     0.7273     -0.3657    1.6364    3.1623    
SITE397      14     0.2857     0.5714     -1.5795    3.0714    4.2678    
SITE401      7      0.5714     0.5714     -0.6550    1.8571    2.9520    
SITE404      6      0.3333     0.5000     -1.3500    3.0000    3.9581    
SITE406      6      0.3333     0.6667     -0.1489    2.1667    3.2404    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.2759     0.6207     -0.6359    2.0345    2.7101    
SITE417      24     0.2500     0.6250     -0.0102    1.9167    2.4833    
SITE420      15     0.2000     0.6000     -0.8224    2.2667    2.9439    
SITE421      11     0.3636     0.5455     -0.6393    2.5455    3.5420    
SITE422      13     0.0769     0.7692     0.2537     1.7692    2.0569    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.3333     0.4667     -1.3046    2.9333    3.8987    
SITE430      9      0.3333     0.4444     -1.3648    4.2222    5.5578    
SITE434      12     0.3333     0.5833     0.3293     1.5833    2.1409    
SITE435      9      0.3333     0.4444     -1.1329    3.1111    4.2687    
SITE437      18     0.1667     0.3889     -2.0444    3.5556    4.4347    
SITE438      15     0.2000     0.6000     -1.2274    2.5333    3.2455    
SITE439      13     0.2308     0.5385     -0.0094    2.2308    2.8689    
SITE442      19     0.3158     0.6842     -0.0927    2.0000    2.9019    
