site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,60,60,0.1428571492433548,0.7142857313156128,-0.9249999523162842,2.0,2.5071327686309814,2.5728297233581543,2.9438395500183105,60
SITE5,40,29,11,17,32,0.1818181872367859,0.5454545617103577,-0.7895522117614746,2.454545497894287,3.1478707790374756,2.708124876022339,2.8077940940856934,17
SITE6,47,34,13,48,60,0.23076923191547394,0.7692307829856873,0.017748475074768066,2.230769157409668,3.3854894638061523,3.3386523723602295,3.331209182739258,48
SITE7,129,98,31,41,56,0.25806450843811035,0.6451612710952759,-0.004285216331481934,1.9032257795333862,2.4691646099090576,2.6652846336364746,2.68613862991333,41
SITE8,57,43,14,1,16,0.1428571492433548,0.5714285969734192,-0.5301508903503418,2.0714285373687744,2.492846965789795,2.69330104192098,2.6881299018859863,1
SITE10,58,42,16,6,21,0.25,0.5625,-0.5645252466201782,2.5,3.278719186782837,2.9466519355773926,3.184349298477173,6
SITE11,27,21,6,60,60,0.3333333432674408,0.5,-0.6615384817123413,2.6666667461395264,3.464101552963257,2.629055678844452,2.900871992111206,60
SITE12,60,44,16,41,56,0.25,0.625,-0.04106128215789795,1.9375,2.5372228622436523,2.73204771677653,2.5884203910827637,41
SITE13,133,104,29,40,55,0.3103448152542114,0.8275862336158752,-0.01953125,1.482758641242981,2.0086021423339844,2.4722391196659634,2.3537617921829224,40
SITE14,34,24,10,1,16,0.20000000298023224,0.4000000059604645,-0.5529754161834717,2.700000047683716,3.271085500717163,3.0041908025741577,2.974888324737549,1
SITE15,74,55,19,5,20,0.15789473056793213,0.5789473652839661,-0.6285713911056519,2.6315789222717285,3.324549913406372,3.042744815349579,3.139575481414795,5
SITE17,77,56,21,9,24,0.2380952388048172,0.523809552192688,-0.5205096006393433,2.5238094329833984,3.330951452255249,2.9174694418907166,2.977180242538452,9
SITE18,82,62,20,37,52,0.3499999940395355,0.6499999761581421,-0.2485637664794922,1.9500000476837158,2.854820489883423,2.6808810234069824,2.9648877382278442,37
SITE19,198,154,44,35,50,0.25,0.7272727489471436,-0.041690707206726074,1.6136363744735718,2.1584928035736084,2.331936311721802,2.528303861618042,35
SITE20,33,23,10,27,42,0.10000000149011612,0.30000001192092896,-0.5335052013397217,2.9000000953674316,3.4496376514434814,3.1215591430664062,3.0118651390075684,27
SITE21,61,47,14,36,51,0.3571428656578064,0.7857142686843872,0.5190505683422089,1.3571428060531616,1.9820624589920044,3.161400318145752,2.8276243209838867,36
SITE22,281,221,60,55,60,0.3499999940395355,0.8833333253860474,-0.04184091091156006,1.1333333253860474,1.6633299589157104,2.0180511134011403,2.138258993625641,55
SITE24,37,26,11,25,40,0.27272728085517883,0.6363636255264282,0.26766300201416016,1.7272727489471436,2.110579490661621,2.5178550481796265,2.717996120452881,25
SITE25,100,76,24,58,60,0.25,0.6666666865348816,-0.008683562278747559,1.7083333730697632,2.245365619659424,2.3809966087341308,2.6589053869247437,58
SITE26,57,41,16,12,27,0.25,0.6875,-0.09726583957672119,2.1875,3.092329263687134,3.0353339513142905,3.0498664379119873,12
SITE29,59,42,17,22,37,0.1764705926179886,0.529411792755127,-0.6809701919555664,2.7058823108673096,3.5313720703125,2.806907812754313,2.622337222099304,22
SITE30,45,32,13,2,17,0.23076923191547394,0.6153846383094788,0.14230269193649292,2.153846263885498,2.801098585128784,2.9285905361175537,3.0209176540374756,2
SITE33,76,54,22,28,43,0.22727273404598236,0.5454545617103577,-0.4329502582550049,2.2727272510528564,3.0451152324676514,2.8075661063194275,2.8282421827316284,28
SITE35,25,18,7,33,48,0.4285714328289032,0.5714285969734192,-0.16994380950927734,2.7142856121063232,4.123105525970459,3.29766845703125,3.6070117950439453,33
SITE36,29,19,10,1,16,0.30000001192092896,0.6000000238418579,-0.7524116039276123,3.200000047683716,4.669046878814697,3.4344884157180786,3.591864585876465,1
SITE40,95,71,24,54,60,0.25,0.7083333134651184,-0.6907045841217041,1.9583333730697632,2.653613805770874,2.4885989665985107,2.4972753524780273,54
SITE41,132,101,31,38,53,0.19354838132858276,0.6451612710952759,-0.007220149040222168,1.8709677457809448,2.2860021591186523,2.673557690211705,2.5990058183670044,38
SITE42,36,24,12,46,60,0.3333333432674408,0.4166666567325592,-1.2782609462738037,3.5,4.6726155281066895,2.994993209838867,3.15022349357605,46
SITE43,73,54,19,4,19,0.10526315867900848,0.3684210479259491,-1.0046684741973877,2.8421051502227783,3.4488747119903564,3.004807233810425,2.8358267545700073,4
SITE45,86,63,23,50,60,0.260869562625885,0.52173912525177,-0.6771947145462036,2.7826087474823,3.694884777069092,2.8608227968215942,2.9261116981506348,50
SITE48,56,40,16,60,60,0.25,0.625,-0.2576831579208374,2.1875,2.8831405639648438,2.711211601893107,2.6561691761016846,60
SITE49,33,23,10,14,29,0.20000000298023224,0.699999988079071,-0.08108103275299072,1.7999999523162842,2.190890312194824,2.671565055847168,2.6518394947052,14
SITE50,32,24,8,60,60,0.75,1.0,0.9357945397496223,0.375,0.7905694246292114,2.8873801231384277,2.6339104175567627,60
SITE53,53,38,15,9,24,0.3333333432674408,0.6666666865348816,0.05159890651702881,1.6666666269302368,2.4083189964294434,2.8326168060302734,2.6678290367126465,9
SITE58,79,58,21,23,38,0.190476194024086,0.6666666865348816,-0.3017711639404297,2.190476179122925,2.943920373916626,2.8648136258125305,2.8293553590774536,23
SITE59,43,31,12,34,49,0.25,0.6666666865348816,-0.7603069543838501,2.4166667461395264,3.570714235305786,2.9816410541534424,2.953519105911255,34
SITE65,41,28,13,5,20,0.1538461595773697,0.4615384638309479,-1.7326529026031494,3.923076868057251,4.875369548797607,3.3109434843063354,3.299211025238037,5
SITE66,36,25,11,21,36,0.1818181872367859,0.4545454680919647,-2.5046513080596924,3.8181817531585693,4.99090051651001,3.036749005317688,3.2467689514160156,21
