predicted,truth,output,top,path
3,6,"[0.0919, 0.1221, 0.1321, 0.1610, 0.1259, 0.1263, 0.0916, 0.0933, 0.0272, 0.0288]",0.16096773743629456,2024-06-09-10-51-06/SITE253_ORNT195_VIS7mi.png
9,2,"[0.0242, 0.0200, 0.0449, 0.0585, 0.0878, 0.1316, 0.1404, 0.2072, 0.0567, 0.2288]",0.2288064956665039,2025-02-12-14-37-35/SITE837_ORNT90_VIS3mi.png
9,7,"[0.0271, 0.0365, 0.0940, 0.0682, 0.0806, 0.1386, 0.1269, 0.1364, 0.0402, 0.2515]",0.2514592707157135,2024-12-29-16-00-12/SITE808_ORNT135_VIS8mi.png
5,7,"[0.0889, 0.1199, 0.1196, 0.0975, 0.1141, 0.1416, 0.1228, 0.1188, 0.0388, 0.0381]",0.1416465789079666,2024-06-07-15-28-05/SITE98_ORNT245_VIS8mi.png
9,9,"[0.0124, 0.0174, 0.0432, 0.0272, 0.0264, 0.0531, 0.0369, 0.0950, 0.2775, 0.4109]",0.4109008014202118,2025-04-10-17-56-44/SITE852_ORNT315_VIS10+mi.png
0,0,"[0.2762, 0.2465, 0.1696, 0.1049, 0.0680, 0.0333, 0.0470, 0.0478, 0.0041, 0.0026]",0.2761537730693817,2024-07-05-10-36-13/SITE217_ORNT250_VIS1-5mi.png
5,2,"[0.0997, 0.1554, 0.1552, 0.0630, 0.1000, 0.1774, 0.0350, 0.0799, 0.1196, 0.0148]",0.17736199498176575,2025-03-02-13-12-40/SITE397_ORNT270_VIS3mi.png
3,2,"[0.1848, 0.1762, 0.1342, 0.1874, 0.1223, 0.0649, 0.0635, 0.0485, 0.0080, 0.0101]",0.18741999566555023,2024-08-24-13-47-04/SITE179_ORNT108_VIS3mi.png
8,8,"[0.0021, 0.0052, 0.0067, 0.0077, 0.0221, 0.0616, 0.0297, 0.0469, 0.7802, 0.0379]",0.7802334427833557,2024-07-07-20-11-04/SITE455_ORNT90_VIS9mi.png
9,7,"[0.0004, 0.0027, 0.0033, 0.0310, 0.0412, 0.0140, 0.0511, 0.1671, 0.0244, 0.6646]",0.6646277904510498,2024-06-27-10-23-10/SITE734_ORNT160_VIS8mi.png
1,3,"[0.0221, 0.3203, 0.1549, 0.2011, 0.0880, 0.1007, 0.0729, 0.0347, 0.0020, 0.0034]",0.3203047215938568,2024-05-08-14-34-39/SITE616_ORNT270_VIS4mi.png
3,8,"[0.1197, 0.1091, 0.1311, 0.1422, 0.1248, 0.1047, 0.1031, 0.0909, 0.0322, 0.0423]",0.14215408265590668,2024-07-26-10-22-16/SITE435_ORNT170_VIS9mi.png
0,1,"[0.2980, 0.1834, 0.2243, 0.0631, 0.0619, 0.0471, 0.0391, 0.0725, 0.0053, 0.0054]",0.29798784852027893,2025-03-02-13-12-40/SITE171_ORNT315_VIS2mi.png
5,5,"[0.0323, 0.0415, 0.0258, 0.1213, 0.2180, 0.3456, 0.1092, 0.0572, 0.0224, 0.0267]",0.3455696403980255,2024-06-16-15-28-51/SITE19_ORNT170_VIS6mi.png
1,1,"[0.1565, 0.2368, 0.1466, 0.1654, 0.0989, 0.0678, 0.0637, 0.0476, 0.0079, 0.0088]",0.23677736520767212,2024-05-30-17-47-26/SITE94_ORNT280_VIS2-5mi.png
