predicted,truth,output,top,path
6,0,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094013065099716,2024-12-09-12-13-38/SITE508_ORNT315_VIS1-25mi.png
6,2,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092514008283615,2025-02-15-15-20-00/SITE802_ORNT235_VIS3mi.png
6,8,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094574093818665,2024-07-22-11-13-59/SITE301_ORNT275_VIS9mi.png
6,5,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10091482102870941,2024-10-06-12-31-10/SITE276_ORNT225_VIS6mi.png
6,2,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092561691999435,2025-01-31-13-49-43/SITE29_ORNT200_VIS3mi.png
6,8,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0999, 0.1002, 0.1009, 0.0998, 0.0992, 0.0999]",0.10091021656990051,2024-07-07-20-11-04/SITE455_ORNT90_VIS9mi.png
6,7,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094133764505386,2024-06-16-15-28-51/SITE215_ORNT235_VIS8mi.png
6,1,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095656663179398,2025-02-16-12-49-10/SITE626_ORNT195_VIS2mi.png
6,0,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094322264194489,2025-03-31-13-29-12/SITE626_ORNT110_VIS1mi.png
6,8,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092727839946747,2025-03-26-12-24-08/SITE76_ORNT60_VIS9mi.png
6,0,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093370825052261,2024-07-02-16-22-41/SITE198_ORNT248_VIS1-75mi.png
6,6,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092519968748093,2024-08-11-09-28-59/SITE747_ORNT0_VIS7mi.png
6,2,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095148533582687,2024-08-01-10-54-34/SITE58_ORNT245_VIS3mi.png
6,0,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093711316585541,2024-09-20-16-20-08/SITE76_ORNT205_VIS1-5mi.png
6,6,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092280805110931,2025-02-05-13-59-56/SITE490_ORNT280_VIS7mi.png
6,1,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092248022556305,2025-01-23-15-05-27/SITE98_ORNT80_VIS2mi.png
6,1,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095138102769852,2024-10-07-14-17-08/SITE58_ORNT90_VIS2mi.png
6,7,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094155371189117,2024-08-01-10-54-34/SITE6_ORNT355_VIS8mi.png
6,9,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093313455581665,2025-01-17-15-10-02/SITE786_ORNT315_VIS10+mi.png
6,4,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092471539974213,2025-04-13-19-09-12/SITE104_ORNT150_VIS5mi.png
6,6,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093984007835388,2024-07-22-11-13-59/SITE639_ORNT10_VIS7mi.png
6,2,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093804448843002,2024-04-30-13-21-52/SITE13_ORNT10_VIS3mi.png
6,1,"[0.1006, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093145072460175,2024-05-07-15-42-07/SITE75_ORNT170_VIS2-5mi.png
6,7,"[0.1006, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093207657337189,2024-09-27-16-12-40/SITE581_ORNT160_VIS8mi.png
6,5,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10091342777013779,2025-01-15-15-33-17/SITE339_ORNT90_VIS6mi.png
6,7,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10091537982225418,2024-07-28-13-48-26/SITE15_ORNT170_VIS8mi.png
6,0,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.100950688123703,2025-02-04-15-47-48/SITE14_ORNT195_VIS1mi.png
6,3,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095586627721786,2024-08-15-16-44-48/SITE439_ORNT200_VIS4mi.png
6,6,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10090995579957962,2024-07-18-11-32-15/SITE519_ORNT5_VIS7mi.png
6,6,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095494240522385,2025-03-15-15-41-34/SITE735_ORNT265_VIS7mi.png
6,3,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094503313302994,2024-07-28-19-40-21/SITE417_ORNT220_VIS4mi.png
6,0,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093318670988083,2025-03-06-15-10-58/SITE194_ORNT194_VIS1-5mi.png
6,1,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094105452299118,2024-06-01-16-58-02/SITE417_ORNT220_VIS2-5mi.png
6,4,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0999, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092180967330933,2024-09-08-13-07-06/SITE327_ORNT330_VIS5mi.png
6,8,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.1009196862578392,2025-03-03-11-33-30/SITE333_ORNT280_VIS9mi.png
6,8,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092148184776306,2025-01-31-13-49-43/SITE380_ORNT55_VIS9mi.png
6,4,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092587023973465,2024-06-09-10-51-06/SITE333_ORNT280_VIS5mi.png
6,6,"[0.1006, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.1009315773844719,2025-03-02-13-12-40/SITE125_ORNT35_VIS7mi.png
6,9,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093417018651962,2025-03-26-14-35-40/SITE629_ORNT125_VIS10+mi.png
6,8,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0999, 0.1002, 0.1009, 0.0999, 0.0993, 0.0999]",0.10092714428901672,2024-10-07-14-17-08/SITE407_ORNT50_VIS9mi.png
6,8,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093560814857483,2024-10-13-15-24-41/SITE471_ORNT255_VIS9mi.png
6,7,"[0.1006, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092402249574661,2024-07-23-10-10-08/SITE258_ORNT325_VIS8mi.png
6,7,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0999, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092093795537949,2025-03-05-12-08-53/SITE472_ORNT95_VIS8mi.png
6,1,"[0.1006, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10091582685709,2025-01-22-12-38-15/SITE801_ORNT255_VIS2mi.png
6,7,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092043876647949,2024-06-17-10-37-40/SITE683_ORNT180_VIS8mi.png
6,5,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10091070830821991,2024-07-05-10-36-13/SITE468_ORNT170_VIS6mi.png
6,2,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094119608402252,2024-05-30-17-47-26/SITE417_ORNT220_VIS3mi.png
6,6,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094067454338074,2024-06-09-10-51-06/SITE253_ORNT195_VIS7mi.png
6,8,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095467418432236,2024-06-29-10-50-12/SITE330_ORNT215_VIS9mi.png
6,1,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0999, 0.1002, 0.1009, 0.0998, 0.0992, 0.0999]",0.10090533643960953,2024-07-25-10-00-39/SITE533_ORNT325_VIS2mi.png
6,9,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094904154539108,2024-10-13-15-24-41/SITE50_ORNT265_VIS10+mi.png
6,0,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092391073703766,2025-01-17-15-10-02/SITE561_ORNT350_VIS1mi.png
6,2,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092349350452423,2025-02-10-14-47-56/SITE786_ORNT130_VIS3mi.png
6,3,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095247626304626,2024-05-27-19-19-47/SITE616_ORNT270_VIS4mi.png
6,4,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093250870704651,2024-07-23-13-08-12/SITE22_ORNT0_VIS5mi.png
6,5,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.1009412482380867,2025-02-15-16-53-20/SITE165_ORNT290_VIS6mi.png
6,7,"[0.1006, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093002766370773,2025-02-04-15-47-48/SITE268_ORNT45_VIS8mi.png
6,7,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093094408512115,2024-08-31-14-30-34/SITE73_ORNT335_VIS8mi.png
6,8,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094482451677322,2024-09-29-15-43-38/SITE480_ORNT140_VIS9mi.png
6,2,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10092867165803909,2024-07-05-14-33-31/SITE169_ORNT14_VIS3mi.png
6,4,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10091763734817505,2024-09-30-11-56-46/SITE460_ORNT165_VIS5mi.png
6,6,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10091597586870193,2024-09-08-16-00-24/SITE15_ORNT90_VIS7mi.png
6,6,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095643252134323,2024-09-08-16-00-24/SITE581_ORNT250_VIS7mi.png
6,9,"[0.1005, 0.1000, 0.0997, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.1009003072977066,2024-05-13-18-48-49/SITE453_ORNT135_VIS15mi.png
6,0,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095464438199997,2024-12-23-15-38-40/SITE128_ORNT242_VIS1-5mi.png
6,0,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094951093196869,2025-03-02-13-12-40/SITE7_ORNT312_VIS1-75mi.png
6,6,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094883292913437,2025-04-22-15-39-35/SITE760_ORNT190_VIS7mi.png
6,3,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094097256660461,2024-07-04-13-27-11/SITE420_ORNT275_VIS4mi.png
6,4,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095354169607162,2024-07-28-13-48-26/SITE119_ORNT96_VIS5mi.png
6,4,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095696896314621,2025-02-27-11-22-46/SITE25_ORNT30_VIS5mi.png
6,3,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.1009543240070343,2024-08-18-13-20-24/SITE261_ORNT90_VIS4mi.png
6,0,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10093049705028534,2025-02-15-16-53-20/SITE547_ORNT260_VIS1mi.png
6,0,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.10094861686229706,2024-07-28-13-48-26/SITE73_ORNT20_VIS1-25mi.png
6,0,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095161199569702,2024-07-20-11-08-20/SITE186_ORNT275_VIS1-75mi.png
6,9,"[0.1005, 0.1000, 0.0996, 0.0999, 0.0998, 0.1001, 0.1010, 0.0999, 0.0992, 0.0999]",0.10095299780368805,2025-05-09-16-29-32/SITE694_ORNT240_VIS10+mi.png
6,3,"[0.1006, 0.1000, 0.0996, 0.0999, 0.0998, 0.1002, 0.1009, 0.0999, 0.0992, 0.0999]",0.1009458601474762,2024-08-31-14-30-34/SITE194_ORNT237_VIS4mi.png
